G70001	<num>G2</num>, [GKG2]
G70002	<num>G3</num>, [GKG3]
G70003	<num>G4</num>, [GKG4]
G70004	<num>G5</num>, [GKG5]
G70005	<num>G6</num>, [GKG6]
G70006	<num>G7</num>, [GKG7]
G70007	<num>G8</num>, [GKG8]
G70008	<num>G9</num>, [GKG9]
G70009	<num>G10</num>, [GKG10]
G70010	<num>G11</num>, [GKG11]
G70011	<num>G12</num>, [GKG12]
G70012	<num>G13</num>, [GKG13]
G70013	<num>G14</num>, [GKG14]
G70014	<num>G15</num>, [GKG16]
G70015	<num>G16</num>, [GKG17]
G70016	<num>G17</num>, [GKG18]
G70017	<num>G18</num>, [GKG19]
G70018	<num>G14</num>, [GKG14]
G70019	<num>G19</num>, [GKG20]
G70020	<num>G20</num>, [GKG21]
G70021	<num>G21</num>, [GKG22]
G70022	<num>G22</num>, [GKG23]
G70023	<num>G23</num>, [GKG24]
G70024	<num>G24</num>, [GKG25]
G70025	<num>G25</num>, [GKG26]
G70026	<num>G26</num>, [GKG27]
G70027	<num>G27</num>, [GKG28]
G70028	<num>G28</num>, [GKG29]
G70029	<num>G29</num>, [GKG30]
G70030	<num>G30</num>, [GKG31]
G70031	<num>G31</num>, [GKG32]
G70032	<num>G518</num>, [GKG33]
G70033	<num>G32</num>, [GKG34]
G70034	<num>G30</num>, [GKG35]
G70035	<num>G33</num>, [GKG35]
G70036	<num>G34</num>, [GKG36]
G70037	<num>G35</num>, [GKG37]
G70038	<num>G36</num>, [GKG38]
G70039	<num>G37</num>, [GKG39]
G70040	<num>G38</num>, [GKG40]
G70041	<num>G40</num>, [GKG41]
G70042	<num>G41</num>, [GKG42]
G70043	<num>G42</num>, [GKG43]
G70044	<num>G43</num>, [GKG44]
G70045	<num>G44</num>, [GKG45]
G70046	<num>G45</num>, [GKG46]
G70047	<num>G46</num>, [GKG47]
G70048	<num>G47</num>, [GKG48]
G70049	<num>G48</num>, [GKG49]
G70050	<num>G49</num>, [GKG50]
G70051	<num>G40</num>, [GKG51]
G70052	<num>G51</num>, [GKG52]
G70053	<num>G52</num>, [GKG53]
G70054	<num>G53</num>, [GKG54]
G70055	<num>G54</num>, [GKG55]
G70056	<num>G55</num>, [GKG56]
G70057	<num>G56</num>, [GKG57]
G70058	<num>G57</num>, [GKG58]
G70059	<num>G58</num>, [GKG59]
G70060	<num>G59</num>, [GKG60]
G70061	<num>G60</num>, [GKG61]
G70062	<num>G61</num>, [GKG62]
G70063	<num>G62</num>, [GKG63]
G70064	<num>G63</num>, [GKG64]
G70065	<num>G64</num>, [GKG65]
G70066	<num>G65</num>, [GKG66]
G70067	<num>G66</num>, [GKG67]
G70068	<num>G67</num>, [GKG68]
G70069	<num>G68</num>, [GKG69]
G70070	<num>G69</num>, [GKG70]
G70071	<num>G70</num>, [GKG71]
G70072	<num>G71</num>, [GKG72]
G70073	<num>G72</num>, [GKG73]
G70074	<num>G73</num>, [GKG74]
G70075	<num>G74</num>, [GKG75]
G70076	<num>G75</num>, [GKG76]
G70077	<num>G76</num>, [GKG77]
G70078	<num>G77</num>, [GKG78]
G70079	<num>G78</num>, [GKG79]
G70080	<num>G79</num>, [GKG80]
G70081	<num>G80</num>, [GKG81]
G70082	<num>G81</num>, [GKG82]
G70083	<num>G82</num>, [GKG83]
G70084	<num>G83</num>, [GKG84]
G70085	<num>G84</num>, [GKG85]
G70086	<num>G85</num>, [GKG86]
G70087	<num>G86</num>, [GKG87]
G70088	<num>G87</num>, [GKG88]
G70089	<num>G88</num>, [GKG89]
G70090	<num>G89</num>, [GKG90]
G70091	<num>G91</num>, [GKG92]
G70092	<num>G92</num>, [GKG93]
G70093	<num>G93</num>, [GKG94]
G70094	<num>G94</num>, [GKG96]
G70095	<num>G95</num>, [GKG97]
G70096	<num>G689</num>, [GKG98]
G70097	<num>G96</num>, [GKG99]
G70098	<num>G97</num>, [GKG100]
G70099	<num>G98</num>, [GKG101]
G70100	<num>G99</num>, [GKG102]
G70101	<num>G100</num>, [GKG103]
G70102	<num>G101</num>, [GKG104]
G70103	<num>G102</num>, [GKG105]
G70104	<num>G103</num>, [GKG106]
G70105	<num>G104</num>, [GKG107]
G70106	<num>G105</num>, [GKG108]
G70107	<num>G106</num>, [GKG109]
G70108	<num>G107</num>, [GKG110]
G70109	<num>G108</num>, [GKG111]
G70110	<num>G109</num>, [GKG113]
G70111	<num>G110</num>, [GKG114]
G70112	<num>G111</num>, [GKG116]
G70113	<num>G112</num>, [GKG117]
G70114	<num>G75</num>, [GKG118]
G70115	<num>G114</num>, [GKG119]
G70116	<num>G115</num>, [GKG120]
G70117	<num>G116</num>, [GKG121]
G70118	<num>G117</num>, [GKG122]
G70119	<num>G118</num>, [GKG123]
G70120	<num>G119</num>, [GKG124]
G70121	<num>G4867</num>, [GKG125]
G70122	<num>G120</num>, [GKG126]
G70123	<num>G121</num>, [GKG127]
G70124	<num>G122</num>, [GKG128]
G70125	<num>G123</num>, [GKG129]
G70126	<num>G124</num>, [GKG130]
G70127	<num>G125</num>, [GKG131]
G70128	<num>G126</num>, [GKG132]
G70129	<num>G127</num>, [GKG133]
G70130	<num>G128</num>, [GKG134]
G70131	<num>G129</num>, [GKG135]
G70132	<num>G130</num>, [GKG136]
G70133	<num>G131</num>, [GKG137]
G70134	<num>G132</num>, [GKG138]
G70135	<num>G133</num>, [GKG139]
G70136	<num>G134</num>, [GKG140]
G70137	<num>G135</num>, [GKG141]
G70138	<num>G136</num>, [GKG142]
G70139	<num>G137</num>, [GKG143]
G70140	<num>G138</num>, [GKG145]
G70141	<num>G139</num>, [GKG146]
G70142	<num>G140</num>, [GKG147]
G70143	<num>G141</num>, [GKG148]
G70144	<num>G142</num>, [GKG149]
G70145	<num>G143</num>, [GKG150]
G70146	<num>G144</num>, [GKG151]
G70147	<num>G145</num>, [GKG152]
G70148	<num>G146</num>, [GKG153]
G70149	<num>G147</num>, [GKG154]
G70150	<num>G148</num>, [GKG155]
G70151	<num>G150</num>, [GKG156]
G70152	<num>G151</num>, [GKG157]
G70153	<num>G152</num>, [GKG158]
G70154	<num>G153</num>, [GKG159]
G70155	<num>G154</num>, [GKG160]
G70156	<num>G155</num>, [GKG161]
G70157	<num>G156</num>, [GKG162]
G70158	<num>G158</num>, [GKG165]
G70159	<num>G159</num>, [GKG165]
G70160	<num>G157</num>, [GKG166]
G70161	<num>G160</num>, [GKG167]
G70162	<num>G161</num>, [GKG168]
G70163	<num>G162</num>, [GKG169]
G70164	<num>G163</num>, [GKG170]
G70165	<num>G164</num>, [GKG171]
G70166	<num>G165</num>, [GKG172]
G70167	<num>G166</num>, [GKG173]
G70168	<num>G167</num>, [GKG174]
G70169	<num>G169</num>, [GKG176]
G70170	<num>G170</num>, [GKG177]
G70171	<num>G171</num>, [GKG178]
G70172	<num>G172</num>, [GKG179]
G70173	<num>G173</num>, [GKG180]
G70174	<num>G174</num>, [GKG181]
G70175	<num>G175</num>, [GKG182]
G70176	<num>G176</num>, [GKG183]
G70177	<num>G177</num>, [GKG184]
G70178	<num>G178</num>, [GKG185]
G70179	<num>G179</num>, [GKG186]
G70180	<num>G180</num>, [GKG188]
G70181	<num>G181</num>, [GKG189]
G70182	<num>G182</num>, [GKG190]
G70183	<num>G184</num>, [GKG192]
G70184	<num>G185</num>, [GKG193]
G70185	<num>G186</num>, [GKG195]
G70186	<num>G187</num>, [GKG196]
G70187	<num>G188</num>, [GKG197]
G70188	<num>G189</num>, [GKG198]
G70189	<num>G190</num>, [GKG199]
G70190	<num>G191</num>, [GKG201]
G70191	<num>G192</num>, [GKG202]
G70192	<num>G193</num>, [GKG203]
G70193	<num>G194</num>, [GKG204]
G70194	<num>G195</num>, [GKG205]
G70195	<num>G197</num>, [GKG209]
G70196	<num>G196</num>, [GKG207]
G70197	<num>G198</num>, [GKG208]
G70198	<num>G199</num>, [GKG209]
G70199	<num>G200</num>, [GKG210]
G70200	<num>G201</num>, [GKG211]
G70201	<num>G202</num>, [GKG212]
G70202	<num>G203</num>, [GKG213]
G70203	<num>G204</num>, [GKG214]
G70204	<num>G205</num>, [GKG215]
G70205	<num>G206</num>, [GKG216]
G70206	<num>G207</num>, [GKG217]
G70207	<num>G208</num>, [GKG218]
G70208	<num>G209</num>, [GKG219]
G70209	<num>G210</num>, [GKG220]
G70210	<num>G217</num>, [GKG221]
G70211	<num>G211</num>, [GKG222]
G70212	<num>G211</num>, [GKG223]
G70213	<num>G212</num>, [GKG224]
G70214	<num>G213</num>, [GKG225]
G70215	<num>G214</num>, [GKG226]
G70216	<num>G215</num>, [GKG227]
G70217	<num>G216</num>, [GKG228]
G70218	<num>G217</num>, [GKG229]
G70219	<num>G218</num>, [GKG230]
G70220	<num>G219</num>, [GKG231]
G70221	<num>G220</num>, [GKG232]
G70222	<num>G221</num>, [GKG233]
G70223	<num>G222</num>, [GKG234]
G70224	<num>G223</num>, [GKG235]
G70225	<num>G224</num>, [GKG236]
G70226	<num>G225</num>, [GKG237]
G70227	<num>G226</num>, [GKG238]
G70228	<num>G227</num>, [GKG239]
G70229	<num>G228</num>, [GKG240]
G70230	<num>G229</num>, [GKG241]
G70231	<num>G230</num>, [GKG242]
G70232	<num>G231</num>, [GKG243]
G70233	<num>G232</num>, [GKG244]
G70234	<num>G233</num>, [GKG245]
G70235	<num>G234</num>, [GKG246]
G70236	<num>G235</num>, [GKG247]
G70237	<num>G236</num>, [GKG248]
G70238	<num>G237</num>, [GKG249]
G70239	<num>G237</num>, [GKG250]
G70240	<num>G238</num>, [GKG251]
G70241	<num>G239</num>, [GKG252]
G70242	<num>G240</num>, [GKG253]
G70243	<num>G241</num>, [GKG254]
G70244	<num>G242</num>, [GKG256]
G70245	<num>G243</num>, [GKG257]
G70246	<num>G244</num>, [GKG258]
G70247	<num>G245</num>, [GKG259]
G70248	<num>G246</num>, [GKG260]
G70249	<num>G247</num>, [GKG261]
G70250	<num>G248</num>, [GKG262]
G70251	<num>G249</num>, [GKG263]
G70252	<num>G250</num>, [GKG264]
G70253	<num>G252</num>, [GKG266]
G70254	<num>G253</num>, [GKG267]
G70255	<num>G254</num>, [GKG268]
G70256	<num>G255</num>, [GKG269]
G70257	<num>G1</num>, [GKG270]
G70258	<num>G256</num>, [GKG271]
G70259	<num>G257</num>, [GKG272]
G70260	<num>G258</num>, [GKG273]
G70261	<num>G259</num>, [GKG274]
G70262	<num>G260</num>, [GKG275]
G70263	<num>G177</num>, [GKG276]
G70264	<num>G262</num>, [GKG277]
G70265	<num>G263</num>, [GKG278]
G70266	<num>G264</num>, [GKG279]
G70267	<num>G181</num>, [GKG280]
G70268	<num>G182</num>, [GKG281]
G70269	<num>G267</num>, [GKG282]
G70270	<num>G268</num>, [GKG283]
G70271	<num>G269</num>, [GKG285]
G70272	<num>G270</num>, [GKG286]
G70273	<num>G271</num>, [GKG287]
G70274	<num>G272</num>, [GKG288]
G70275	<num>G273</num>, [GKG289]
G70276	<num>G274</num>, [GKG290]
G70277	<num>G275</num>, [GKG291]
G70278	<num>G276</num>, [GKG292]
G70279	<num>G277</num>, [GKG293]
G70280	<num>G278</num>, [GKG294]
G70281	<num>G279</num>, [GKG295]
G70282	<num>G280</num>, [GKG296]
G70283	<num>G281</num>, [GKG297]
G70284	<num>G282</num>, [GKG298]
G70285	<num>G283</num>, [GKG299]
G70286	<num>G284</num>, [GKG300]
G70287	<num>G285</num>, [GKG302]
G70288	<num>G286</num>, [GKG303]
G70289	<num>G287</num>, [GKG304]
G70290	<num>G288</num>, [GKG306]
G70291	<num>G289</num>, [GKG307]
G70292	<num>G290</num>, [GKG308]
G70293	<num>G291</num>, [GKG309]
G70294	<num>G292</num>, [GKG310]
G70295	<num>G294</num>, [GKG314]
G70296	<num>G906</num>, [GKG311]
G70297	<num>G293</num>, [GKG312]
G70298	<num>G294</num>, [GKG313], [GKG314]
G70299	<num>G295</num>, [GKG315]
G70300	<num>G296</num>, [GKG316]
G70301	<num>G297</num>, [GKG317]
G70302	<num>G298</num>, [GKG318]
G70303	<num>G299</num>, [GKG319]
G70304	<num>G299</num>, [GKG320]
G70305	<num>G301</num>, [GKG322]
G70306	<num>G302</num>, [GKG323]
G70307	<num>G303</num>, [GKG324]
G70308	<num>G304</num>, [GKG325]
G70309	<num>G305</num>, [GKG326]
G70310	<num>G306</num>, [GKG327]
G70311	<num>G307</num>, [GKG328]
G70312	<num>G308</num>, [GKG329]
G70313	<num>G309</num>, [GKG330]
G70314	<num>G310</num>, [GKG331]
G70315	<num>G311</num>, [GKG332]
G70316	<num>G508</num>, [GKG333]
G70317	<num>G312</num>, [GKG334]
G70318	<num>G313</num>, [GKG335]
G70319	<num>G314</num>, [GKG336]
G70320	<num>G315</num>, [GKG337]
G70321	<num>G316</num>, [GKG338]
G70322	<num>G317</num>, [GKG339]
G70323	<num>G318</num>, [GKG340]
G70324	<num>G319</num>, [GKG341]
G70325	<num>G320</num>, [GKG342]
G70326	<num>G321</num>, [GKG343]
G70327	<num>G322</num>, [GKG344]
G70328	<num>G323</num>, [GKG345]
G70329	<num>G324</num>, [GKG346]
G70330	<num>G325</num>, [GKG347]
G70331	<num>G326</num>, [GKG348]
G70332	<num>G327</num>, [GKG349]
G70333	<num>G328</num>, [GKG350]
G70334	<num>G329</num>, [GKG351]
G70335	<num>G330</num>, [GKG352]
G70336	<num>G331</num>, [GKG353]
G70337	<num>G332</num>, [GKG354]
G70338	<num>G333</num>, [GKG355]
G70339	<num>G335</num>, [GKG357]
G70340	<num>G336</num>, [GKG358]
G70341	<num>G337</num>, [GKG359]
G70342	<num>G338</num>, [GKG360]
G70343	<num>G339</num>, [GKG361]
G70344	<num>G340</num>, [GKG362]
G70345	<num>G341</num>, [GKG363]
G70346	<num>G342</num>, [GKG364]
G70347	<num>G343</num>, [GKG365]
G70348	<num>G344</num>, [GKG366]
G70349	<num>G345</num>, [GKG367]
