G70001	<num>G2</num>
G70002	<num>G3</num>
G70003	<num>G4</num>
G70004	<num>G5</num>
G70005	<num>G6</num>
G70006	<num>G7</num>
G70007	<num>G8</num>
G70008	<num>G9</num>
G70009	<num>G10</num>
G70010	<num>G11</num>
G70011	<num>G12</num>
G70012	<num>G13</num>
G70013	<num>G14</num>
G70014	<num>G15</num>
G70015	<num>G16</num>
G70016	<num>G17</num>
G70017	<num>G18</num>
G70018	<num>G14</num>
G70019	<num>G19</num>
G70020	<num>G20</num>
G70021	<num>G21</num>
G70022	<num>G22</num>
G70023	<num>G23</num>
G70024	<num>G24</num>
G70025	<num>G25</num>
G70026	<num>G26</num>
G70027	<num>G27</num>
G70028	<num>G28</num>
G70029	<num>G29</num>
G70030	<num>G30</num>
G70031	<num>G31</num>
G70032	<num>G518</num>
G70033	<num>G32</num>
G70034	<num>G30</num>
G70035	<num>G33</num>
G70036	<num>G34</num>
G70037	<num>G35</num>
G70038	<num>G36</num>
G70039	<num>G37</num>
G70040	<num>G38</num>
G70041	<num>G40</num>
G70042	<num>G41</num>
G70043	<num>G42</num>
G70044	<num>G43</num>
G70045	<num>G44</num>
G70046	<num>G45</num>
G70047	<num>G46</num>
G70048	<num>G47</num>
G70049	<num>G48</num>
G70050	<num>G49</num>
G70051	<num>G40</num>
G70052	<num>G51</num>
G70053	<num>G52</num>
G70054	<num>G53</num>
G70055	<num>G54</num>
G70056	<num>G55</num>
G70057	<num>G56</num>
G70058	<num>G57</num>
G70059	<num>G58</num>
G70060	<num>G59</num>
G70061	<num>G60</num>
G70062	<num>G61</num>
G70063	<num>G62</num>
G70064	<num>G63</num>
G70065	<num>G64</num>
G70066	<num>G65</num>
G70067	<num>G66</num>
G70068	<num>G67</num>
G70069	<num>G68</num>
G70070	<num>G69</num>
G70071	<num>G70</num>
G70072	<num>G71</num>
G70073	<num>G72</num>
G70074	<num>G73</num>
G70075	<num>G74</num>
G70076	<num>G75</num>
G70077	<num>G76</num>
G70078	<num>G77</num>
G70079	<num>G78</num>
G70080	<num>G79</num>
G70081	<num>G80</num>
G70082	<num>G81</num>
G70083	<num>G82</num>
G70084	<num>G83</num>
G70085	<num>G84</num>
G70086	<num>G85</num>
G70087	<num>G86</num>
G70088	<num>G87</num>
G70089	<num>G88</num>
G70090	<num>G89</num>
G70091	<num>G91</num>
G70092	<num>G92</num>
G70093	<num>G93</num>
G70094	<num>G94</num>
G70095	<num>G95</num>
G70096	<num>G689</num>
G70097	<num>G96</num>
G70098	<num>G97</num>
G70099	<num>G98</num>
G70100	<num>G99</num>
G70101	<num>G100</num>
G70102	<num>G101</num>
G70103	<num>G102</num>
G70104	<num>G103</num>
G70105	<num>G104</num>
G70106	<num>G105</num>
G70107	<num>G106</num>
G70108	<num>G107</num>
G70109	<num>G108</num>
G70110	<num>G109</num>
G70111	<num>G110</num>
G70112	<num>G111</num>
G70113	<num>G112</num>
G70114	<num>G75</num>
G70115	<num>G114</num>
G70116	<num>G115</num>
G70117	<num>G116</num>
G70118	<num>G117</num>
G70119	<num>G118</num>
G70120	<num>G119</num>
G70121	<num>G4867</num>
G70122	<num>G120</num>
G70123	<num>G121</num>
G70124	<num>G122</num>
G70125	<num>G123</num>
G70126	<num>G124</num>
G70127	<num>G125</num>
G70128	<num>G126</num>
G70129	<num>G127</num>
G70130	<num>G128</num>
G70131	<num>G129</num>
G70132	<num>G130</num>
G70133	<num>G131</num>
G70134	<num>G132</num>
G70135	<num>G133</num>
G70136	<num>G134</num>
G70137	<num>G135</num>
G70138	<num>G136</num>
G70139	<num>G137</num>
G70140	<num>G138</num>
G70141	<num>G139</num>
G70142	<num>G140</num>
G70143	<num>G141</num>
G70144	<num>G142</num>
G70145	<num>G143</num>
G70146	<num>G144</num>
G70147	<num>G145</num>
G70148	<num>G146</num>
G70149	<num>G147</num>
G70150	<num>G148</num>
G70151	<num>G150</num>
G70152	<num>G151</num>
G70153	<num>G152</num>
G70154	<num>G153</num>
G70155	<num>G154</num>
G70156	<num>G155</num>
G70157	<num>G156</num>
G70158	<num>G158</num>
G70159	<num>G159</num>
G70160	<num>G157</num>
G70161	<num>G160</num>
G70162	<num>G161</num>
G70163	<num>G162</num>
G70164	<num>G163</num>
G70165	<num>G164</num>
G70166	<num>G165</num>
G70167	<num>G166</num>
G70168	<num>G167</num>
G70169	<num>G169</num>
G70170	<num>G170</num>
G70171	<num>G171</num>
G70172	<num>G172</num>
G70173	<num>G173</num>
G70174	<num>G174</num>
G70175	<num>G175</num>
G70176	<num>G176</num>
G70177	<num>G177</num>
G70178	<num>G178</num>
G70179	<num>G179</num>
G70180	<num>G180</num>
G70181	<num>G181</num>
G70182	<num>G182</num>
G70183	<num>G184</num>
G70184	<num>G185</num>
G70185	<num>G186</num>
G70186	<num>G187</num>
G70187	<num>G188</num>
G70188	<num>G189</num>
G70189	<num>G190</num>
G70190	<num>G191</num>
G70191	<num>G192</num>
G70192	<num>G193</num>
G70193	<num>G194</num>
G70194	<num>G195</num>
G70195	<num>G197</num>
G70196	<num>G196</num>
G70197	<num>G198</num>
G70198	<num>G199</num>
G70199	<num>G200</num>
G70200	<num>G201</num>
G70201	<num>G202</num>
G70202	<num>G203</num>
G70203	<num>G204</num>
G70204	<num>G205</num>
G70205	<num>G206</num>
G70206	<num>G207</num>
G70207	<num>G208</num>
G70208	<num>G209</num>
G70209	<num>G210</num>
G70210	<num>G217</num>
G70211	<num>G211</num>
G70212	<num>G211</num>
G70213	<num>G212</num>
G70214	<num>G213</num>
G70215	<num>G214</num>
G70216	<num>G215</num>
G70217	<num>G216</num>
G70218	<num>G217</num>
G70219	<num>G218</num>
G70220	<num>G219</num>
G70221	<num>G220</num>
G70222	<num>G221</num>
G70223	<num>G222</num>
G70224	<num>G223</num>
G70225	<num>G224</num>
G70226	<num>G225</num>
G70227	<num>G226</num>
G70228	<num>G227</num>
G70229	<num>G228</num>
G70230	<num>G229</num>
G70231	<num>G230</num>
