G70001	[GKG2]
G70002	[GKG3]
G70003	[GKG4]
G70004	[GKG5]
G70005	[GKG6]
G70006	[GKG7]
G70007	[GKG8]
G70008	[GKG9]
G70009	[GKG10]
G70010	[GKG11]
G70011	[GKG12]
G70012	[GKG13]
G70013	[GKG14]
G70014	[GKG16]
G70015	[GKG17]
G70016	[GKG18]
G70017	[GKG19]
G70018	[GKG14]
G70019	[GKG20]
G70020	[GKG21]
G70021	[GKG22]
G70022	[GKG23]
G70023	[GKG24]
G70024	[GKG25]
G70025	[GKG26]
G70026	[GKG27]
G70027	[GKG28]
G70028	[GKG29]
G70029	[GKG30]
G70030	[GKG31]
G70031	[GKG32]
G70032	[GKG33]
G70033	[GKG34]
G70034	[GKG35]
G70035	[GKG35]
G70036	[GKG36]
G70037	[GKG37]
G70038	[GKG38]
G70039	[GKG39]
G70040	[GKG40]
G70041	[GKG41]
G70042	[GKG42]
G70043	[GKG43]
G70044	[GKG44]
G70045	[GKG45]
G70046	[GKG46]
G70047	[GKG47]
G70048	[GKG48]
G70049	[GKG49]
G70050	[GKG50]
G70051	[GKG51]
G70052	[GKG52]
G70053	[GKG53]
G70054	[GKG54]
G70055	[GKG55]
G70056	[GKG56]
G70057	[GKG57]
G70058	[GKG58]
G70059	[GKG59]
G70060	[GKG60]
G70061	[GKG61]
G70062	[GKG62]
G70063	[GKG63]
G70064	[GKG64]
G70065	[GKG65]
G70066	[GKG66]
G70067	[GKG67]
G70068	[GKG68]
G70069	[GKG69]
G70070	[GKG70]
G70071	[GKG71]
G70072	[GKG72]
G70073	[GKG73]
G70074	[GKG74]
G70075	[GKG75]
G70076	[GKG76]
G70077	[GKG77]
G70078	[GKG78]
G70079	[GKG79]
G70080	[GKG80]
G70081	[GKG81]
G70082	[GKG82]
G70083	[GKG83]
G70084	[GKG84]
G70085	[GKG85]
G70086	[GKG86]
G70087	[GKG87]
G70088	[GKG88]
G70089	[GKG89]
G70090	[GKG90]
G70091	[GKG92]
G70092	[GKG93]
