G70001	aaron 
G70002	avaððon 
G70003	avariys 
G70004	avva 
G70005	avel 
G70006	aviya 
G70007	aviyaθar 
G70008	aviyliyniy 
G70009	aviyuð 
G70010	avraam 
G70011	aviyssos 
G70012	agavos 
G70013	agaθoeryeo 
G70014	agaθopiyeo 
G70015	agaθopiyiya 
G70016	agaθopiyos 
G70017	agaθos 
G70018	agaθuryeo 
G70019	agaθosiyniy 
G70020	agalliyasiys 
G70021	agalliyao 
G70022	agamos 
G70023	aganakteo 
G70024	aganaktiysiys 
G70025	agapao 
G70026	agapiy 
G70027	agapiytos 
G70028	agar 
G70029	anggarevo 
G70030	anggiyon 
G70031	anggeliya 
G70032	anggello 
G70033	anggelos 
G70034	anggos 
G70035	aye 
G70036	ayeliy 
G70037	ayenealoyiytos 
G70038	ayeniys 
G70039	ayiyazo 
G70040	ayiyazmos 
G70041	ayiyos 
G70042	ayiyotiys 
G70043	ayiyosiyniy 
G70044	anggaliy 
G70045	anggiystron 
G70046	anggiyra 
G70047	agnafos 
G70048	agniya 
G70049	agniyzo 
G70050	agniyzmos 
G70051	agnoeo 
G70052	agniyma 
G70053	agniya 
G70054	agnos 
G70055	agnotiys 
G70056	agnos 
G70057	agnosiya 
G70058	agnostos 
G70059	agora 
G70060	agorazo 
G70061	agoreos 
G70062	agra 
G70063	agrammatos 
G70064	agravleo 
G70065	agrevo 
G70066	agriyeleos 
G70067	agriyos 
G70068	agriyppas 
G70069	agros 
G70070	agriypneo 
G70071	agriypniya 
G70072	ago 
G70073	agoyiy 
G70074	agon 
G70075	agoniya 
G70076	agoniyzome 
G70077	aðam 
G70078	aðapanos 
G70079	aððiy 
G70080	aðelfiy 
G70081	aðelfos 
G70082	aðelfotiys 
G70083	aðiylos 
G70084	aðiylotiys 
G70085	aðiylos 
G70086	aðiymoneo 
G70087	aðiys 
G70088	aðiyakriytos 
G70089	aðiyaliyptos 
G70090	aðiyaliyptos 
G70091	aðiykeo 
G70092	aðiykiyma 
G70093	aðiykiya 
G70094	aðiykos 
G70095	aðiykos 
G70096	aðmiyn 
G70097	aðokiymos 
G70098	aðolos 
G70099	aðramiyttiynos 
G70100	aðriyas 
G70101	aðrotiys 
G70102	aðiynateo 
G70103	aðiynatos 
G70104	aðo 
G70105	aiy 
G70106	aetos 
G70107	aziymos 
G70108	azor 
G70109	azotos 
G70110	er 
G70111	aθanasiya 
G70112	aθemiytos 
G70113	aθeos 
G70114	aθezmos 
G70115	aθeteo 
G70116	aθetiysiys 
G70117	aθiyne 
G70118	aθiyneos 
G70119	aθleo 
G70120	aθliysiys 
G70121	aθriyzo 
G70122	aθiymeo 
G70123	aθoos 
G70124	eyiyos 
G70125	eyiyalos 
G70126	eyiyptiyos 
G70127	eyiyptos 
G70128	aiyðiyos 
G70129	eðos 
G70130	eθiyops 
G70131	ema 
G70132	ematekkhiysiya 
G70133	emorroeo 
G70134	eneas 
G70135	enesiys 
G70136	eneo 
G70137	eniygma 
G70138	enos 
G70139	enon 
G70140	ereome 
G70141	eresiys 
G70142	eretiyzo 
G70143	eretiykos 
G70144	ero 
G70145	esθanome 
G70146	esθiysiys 
G70147	esθiytiyriyon 
G70148	eskhrokerðiys 
G70149	eskhrokerðos 
G70150	eskhroloyiya 
G70151	eskhros 
G70152	eskhrotiys 
G70153	eskhiyniy 
G70154	eskhiynome 
G70155	eteo 
G70156	etiyma 
G70157	etiya 
G70158	etiyon 
G70159	etiyos 
G70160	etiyoma 
G70161	efniyðiyos 
G70162	ekhmalosiya 
G70163	ekhmalotevo 
G70164	ekhmalotiyzo 
G70165	ekhmalotos 
G70166	eon 
G70167	eoniyos 
G70168	akaθarsiya 
G70169	akaθartos 
G70170	akereome 
G70171	akeros 
G70172	akakos 
G70173	akanθa 
G70174	akanθiynos 
G70175	akarpos 
G70176	akatagnostos 
G70177	akatakaliyptos 
G70178	akatakriytos 
G70179	akataliytos 
G70180	akatapafstos 
G70181	akatastasiya 
G70182	akatastatos 
G70183	akelðamakh 
G70184	akereos 
G70185	akliyniys 
G70186	akmazo 
G70187	akmiyn 
G70188	akiy 
G70189	akoluθeo 
G70190	akuo 
G70191	akrasiya 
G70192	akratiys 
G70193	akratos 
G70194	akriyviya 
G70195	akriyvesteron 
G70196	akriyviys 
G70197	akriyvoo 
G70198	akriyvos 
G70199	akriys 
G70200	akroatiyriyon 
G70201	akroatiys 
G70202	akroviystiya 
G70203	akrogoniyeos 
G70204	akroθiyniyon 
G70205	akron 
G70206	akiylas 
G70207	akiyroo 
G70208	akoliytos 
G70209	akon 
G70210	ala 
G70211	alavastron 
G70212	alavastros 
G70213	alazoniya 
G70214	alazon 
G70215	alalazo 
G70216	alaliytos 
