1	G70971	Βίβλος
2	G71075	γενέσεως
3	G72409	Ἰησοῦ
4	G75388	χριστοῦ
5	G75057	υἱοῦ
6	G71157	Δαυὶδ
7	G75057	υἱοῦ
8	G70010	Ἀβραάμ
9	G70010	Ἀβραὰμ
10	G71078	ἐγέννησεν
11	G73459	τὸν
12	G72447	Ἰσαάκ
13	G72447	Ἰσαὰκ
14	G71158	δὲ
15	G71078	ἐγέννησεν
16	G73459	τὸν
17	G72369	Ἰακώβ
18	G72369	Ἰακὼβ
19	G71158	δὲ
20	G71078	ἐγέννησεν
21	G73459	τὸν
22	G72438	Ἰούδαν
23	G72518	καὶ
24	G73459	τοὺς
25	G70081	ἀδελφοὺς
26	G70838	αὐτοῦ
27	G72438	Ἰούδας
28	G71158	δὲ
29	G71078	ἐγέννησεν
30	G73459	τὸν
31	G75176	Φαρὲς
32	G72518	καὶ
33	G73459	τὸν
34	G72186	Ζάρα
35	G71527	ἐκ
36	G73459	τῆς
37	G72268	Θαμάρ
38	G75176	Φαρὲς
39	G71158	δὲ
40	G71078	ἐγέννησεν
41	G73459	τὸν
42	G72064	Ἑσρώμ
43	G72064	Ἑσρὼμ
44	G71158	δὲ
45	G71078	ἐγέννησεν
46	G73459	τὸν
47	G70681	Ἀράμ
48	G70681	Ἀρὰμ
49	G71158	δὲ
50	G71078	ἐγέννησεν
51	G73459	τὸν
52	G70286	Ἀμιναδάβ
53	G70286	Ἀμιναδὰβ
54	G71158	δὲ
55	G71078	ἐγέννησεν
56	G73459	τὸν
57	G73348	Ναασσών
58	G73348	Ναασσὼν
59	G71158	δὲ
60	G71078	ἐγέννησεν
61	G73459	τὸν
62	G74397	Σαλμών
63	G74397	Σαλμὼν
64	G71158	δὲ
65	G71078	ἐγέννησεν
66	G73459	τὸν
67	G70990	Βόες
68	G71527	ἐκ
69	G73459	τῆς
70	G74345	Ῥαχάβ
71	G70990	Βόες
72	G71158	δὲ
73	G71078	ἐγέννησεν
74	G73459	τὸν
75	G72475	Ἰωβὴδ
76	G71527	ἐκ
77	G73459	τῆς
78	G74368	Ῥούθ
79	G72475	Ἰωβὴδ
80	G71158	δὲ
81	G71078	ἐγέννησεν
82	G73459	τὸν
83	G72406	Ἰεσσαί
84	G72406	Ἰεσσαὶ
85	G71158	δὲ
86	G71078	ἐγέννησεν
87	G73459	τὸν
88	G71157	Δαυὶδ
