α	alpha
Ἀαρών	Aaron (referring to both the person and his priesthood)
Ἀβαδδών	Abaddon
ἀβαρής	not burdensome
ἀββά	Aramaic for <i>father</i>
Ἅβελ	Abel
Ἀβιά	Abijah
Ἀβιαθάρ	Abiathar
Ἀβιληνή	Abilene
Ἀβιούδ	Abiud
Ἀβραάμ	Abraham
ἄβυσσος	Abyss
Ἅγαβος	Agabus
ἀγαθοεργέω	to do good
ἀγαθοεργός	one who does good
ἀγαθοποιέω	to do good
ἀγαθοποιΐα	doing good
ἀγαθοποιός	one who does good
ἀγαθός	good
ἀγαθωσύνη	goodness
ἀγαλλίασις	delight
ἀγαλλιάω	to be filled with delight
ἄγαμος	unmarried (man or woman)
ἀγανακτέω	to be indignant
ἀγανάκτησις	indignation
ἀγαπάω	to love
ἀγάπη	love
ἀγαπητός	dearly loved one
Ἁγάρ	Hagar
ἀγγαρεύω	to force
ἀγγεῖον	jar
ἀγγελία	message
ἀγγέλλω	to bring news
ἄγγελος	angel
ἄγγος	basket
ἀγέλη	herd (of pigs)
ἀγενεαλόγητος	without genealogy
ἀγενής	lowly
ἁγιάζω	to sanctify
ἁγιασμός	holiness
ἅγιος	holy (moral quality)
ἁγιότης	holiness
ἁγιωσύνη	holiness
ἀγκάλη	arm
ἄγκιστρον	fish-hook
ἄγκυρα	anchor
ἄγναφος	unshrunk
ἁγνεία	purity
ἁγνίζω	to purify
ἁγνισμός	purification
ἀγνοέω	to be ignorant
ἀγνόημα	sin committed in ignorance
ἄγνοια	ignorance
ἁγνότης	purity
ἁγνῶς	pure (in some contexts morally pure)
ἀγνωσία	ignorance
ἄγνωστος	unknown
ἀγορά	marketplace (as a center of social and commercial life)
ἀγοράζω	to buy
ἀγοραῖος	marketplace
ἄγρα	catch (of fish)
ἀγράμματος	unschooled
ἀγραυλέω	to live outdoors
ἀγρεύω	to catch
ἀγριέλαιος	wild olive tree
ἄγριος	wild
Ἀγρίππας	Agrippa
ἀγρός	field
ἀγρυπνέω	to keep awake
ἀγρυπνία	sleeplessness
ἄγω	to bring
ἀγωγή	way of life
ἀγών	struggle
ἀγωνία	anguish
ἀγωνίζομαι	to fight
Ἀδάμ	Adam
ἀδάπανος	free of charge
Ἀδδί	Addi
ἀδελφή	sister
ἀδελφός	brother
ἀδελφότης	brotherhood
ἀδηλότης	uncertainty
ἀδήλως	not clear
ἀδημονέω	to be troubled
ᾅδης	Hades
ἀδιάκριτος	impartial
ἀδιαλείπτως	constant
ἀδιαφθορία	sincerity
ἀδικέω	to do wrong
ἀδίκημα	crime
ἀδικία	wickedness
ἀδικοκρίτης	unjust judge
ἀδίκως	unjust
Ἀδμίν	Admin
ἀδόκιμος	failing the test
ἄδολος	pure
Ἀδραμυττηνός	of Adramyttium
Ἀδρίας	Adriatic Sea
ἁδρότης	liberal gift
ἀδυνατέω	to be impossible
ἀδύνατος	impossible
ᾄδω	to sing
ἀεί	always
ἀετός	eagle (a noble
ἄζυμος	unleavened
Ἀζώρ	Azor
Ἄζωτος	Azotus
ἀηδία	enmity
ἀήρ	air
ἀθανασία	immortality
ἀθάνατος	immortal
ἀθέμιτος	unlawful
ἄθεος	without God
ἄθεσμος	lawless
ἀθετέω	to reject
ἀθέτησις	setting aside
Ἀθηνᾶ	Athens
Ἀθηναῖος	Athenian
ἀθλέω	to compete in a contest
ἄθλησις	contest
ἀθροίζω	to assemble together
ἀθυμέω	to be discouraged
ἀθῷος	innocent
αἴγειος	of a goat
αἰγιαλός	shore
Αἰγύπτιος	Egyptian
Αἴγυπτος	Egypt
ἀΐδιος	eternal (referring to God's power
αἰδώς	decency
Αἰθίοψ	Ethiopian
αἷμα	blood
αἱματεκχυσία	shedding
αἱμορροέω	to be subject to bleeding
Αἰνέας	Aeneas
αἴνεσις	praise
αἰνέω	to praise
αἴνιγμα	poor reflection
αἶνος	praise
Αἰνών	Aenon
αἴξ	goat
αἵρεσις	sect (religious party)
αἱρετίζω	to choose (for the purpose of showing special favor)
αἱρετικός	divisive
αἱρέω	to choose
αἴρω	to take up
αἰσθάνομαι	to grasp
αἴσθησις	insight
αἰσθητήριον	sense
αἰσχροκερδής	pursuing dishonest gain
αἰσχροκερδῶς	in greediness for money
αἰσχρολογία	filthy language
αἰσχρός	disgraceful
αἰσχρότης	obscenity
αἰσχύνη	shamefulness
αἰσχύνομαι	to be ashamed
αἰτέω	to ask
αἴτημα	request
αἰτία	(legal) charge
αἰτίαμα	charge
αἰτιάομαι	to charge
αἴτιος	basis
αἰτίωμα	(legal) charge
αἰφνίδιος	sudden
αἰχμαλωσία	captivity
αἰχμαλωτεύω	to take captive
αἰχμαλωτίζω	to take captive
αἰχμάλωτος	prisoner
αἰών	eternity
αἰώνιος	eternal
ἀκαθαρσία	impurity
ἀκαθάρτης	uncleanness
ἀκάθαρτος	unclean
ἀκαιρέομαι	to have no opportunity
ἀκαίρως	out of season
ἄκακος	blameless
ἄκανθα	thorn
ἀκάνθινος	of thorns
ἄκαρπος	unfruitful
ἀκατάγνωστος	not condemned
ἀκατακάλυπτος	uncovered
ἀκατάκριτος	uncondemned
ἀκατάλυτος	indestructible
ἀκατάπαστος	unceasing
ἀκατάπαυστος	never stopping
ἀκαταστασία	disorder
ἀκατάστατος	unstable
ἀκατάσχετος	uncontrollable
Ἀκελδαμάχ	Akeldama (traditionally located south of the valley of Hinnom)
ἀκέραιος	innocent
ἀκηδεμονέω	be in distress
ἀκλινής	unswerving
ἀκμάζω	to be or become ripe
ἀκμήν	still
ἀκοή	(act of) hearing
ἀκολουθέω	to follow
ἀκουστός	audible
ἀκούω	to hear
ἀκρασία	lack of self-control
ἀκρατής	without self-control
ἄκρατος	undiluted (of wine not watered down)
ἀκρίβεια	thoroughness
ἀκριβέστερον	strictest
ἀκριβής	strict
ἀκριβόω	to find out exactly
ἀκριβῶς	accurately
ἀκρίς	locust (in some cultures distinguished from a grasshopper and used as a food source)
ἀκροατήριον	audience room (of the procurator)
ἀκροατής	hearer
ἀκροβυστία	uncircumcision
ἀκρογωνιαῖος	cornerstone
ἀκροθίνιον	plunder
ἄκρον	end
Ἀκύλας	Aquila
ἀκυρόω	to nullify
ἀκωλύτως	without hinderance
ἄκων	not voluntary
ἅλα	salt
ἀλάβαστρον	alabaster jar
ἀλάβαστρος	alabaster jar
ἀλαζονεία	boasting
ἀλαζών	boaster
ἀλαλάζω	to clang
ἀλάλητος	inexpressible
ἄλαλος	mute
ἅλας	salt
ἀλείφω	to pour on
ἀλεκτοροφωνία	crowing of a rooster
ἀλέκτωρ	rooster
Ἀλεξανδρεύς	Alexandrian
Ἀλεξανδρῖνος	Alexandrian
Ἀλέξανδρος	Alexander
ἄλευρον	flour
ἀλήθεια	truth
ἀληθεύω	to be truthful
ἀληθής	true
ἀληθινός	true
ἀλήθω	to grind grain (with a handmill operated by two women)
ἀληθῶς	truly
ἁλιεύς	fisherman (by occupation)
ἁλιεύω	to catch fish
ἁλίζω	to salt
ἀλίσγημα	pollution
ἀλλά	but
ἀλλάσσω	to change
ἀλλαχόθεν	from another way
ἀλλαχοῦ	elsewhere
ἀλληγορέω	to take figuratively
ἁλληλουι&ά	hallelujah
ἀλλήλων	one another
ἀλλογενής	foreign
ἀλλοιόω	to change
ἅλλομαι	to jump up
ἀλλοτριεπίσκοπος	meddler
ἀλλότριος	belonging to another
ἀλλόφυλος	Gentile
ἄλλως	another
ἀλοάω	to tread
ἄλογος	unreasonable
ἀλόη	aloes
ἅλς	salt
ἁλυκός	salt spring
ἄλυπος	free from anxiety
ἅλυσις	chain (the state of imprisonment)
ἀλυσιτελής	unadvantageous
ἄλφα	Alpha
Ἁλφαῖος	Alphaeus
ἅλων	threshing floor
ἀλώπηξ	fox
ἅλωσις	capture
ἅμα	together
ἀμαθής	ignorant
ἀμαράντινος	unfading
