G1	alpha
G2	Aaron (referring to both the person and his priesthood)
G3	Abaddon
G4	not burdensome
G5	Aramaic for <i>father</i>
G6	Abel
G7	Abijah
G8	Abiathar
G9	Abilene
G10	Abiud
G11	Abraham
G12	Abyss
G13	Agabus
G14	to do good
G15	one who does good
G16	to do good
G17	doing good
G18	one who does good
G19	good
G20	goodness
G21	delight
G22	to be filled with delight
G23	unmarried (man or woman)
G24	to be indignant
G25	indignation
G26	to love
G27	love
G28	dearly loved one
G29	Hagar
G30	to force
G31	jar
G32	message
G33	to bring news
G34	angel
G35	basket
G36	herd (of pigs)
G37	without genealogy
G38	lowly
G39	to sanctify
G40	holiness
G41	holy (moral quality)
G42	holiness
G43	holiness
G44	arm
G45	fish-hook
G46	anchor
G47	unshrunk
G48	purity
G49	to purify
G50	purification
G51	to be ignorant
G52	sin committed in ignorance
G53	ignorance
G54	pure (in some contexts morally pure)
G55	purity
G57	ignorance
G58	unknown
G59	marketplace (as a center of social and commercial life)
G60	to buy
G61	marketplace
G62	catch (of fish)
G63	unschooled
G64	to live outdoors
G65	to catch
G66	wild olive tree
G67	wild
G68	Agrippa
G69	field
G70	to keep awake
G71	sleeplessness
G72	to bring
G73	way of life
G74	struggle
G75	anguish
G76	to fight
G77	Adam
G78	free of charge
G79	Addi
G80	sister
G81	brother
G82	brotherhood
G83	not clear
G84	uncertainty
G86	to be troubled
G87	Hades
G88	impartial
G89	constant
G91	sincerity
G92	to do wrong
G93	crime
G94	wickedness
G95	unjust judge
G96	unjust
G98	Admin
G99	failing the test
G100	pure
G101	of Adramyttium
G102	Adriatic Sea
G103	liberal gift
G104	to be impossible
G105	impossible
G106	to sing
G107	always
G108	eagle (a noble
G109	unleavened
G110	Azor
G111	Azotus
G112	enmity
G113	air
G114	immortality
G115	immortal
G116	unlawful
G117	without God
G118	lawless
G119	to reject
G120	setting aside
G121	Athens
G122	Athenian
G123	to compete in a contest
G124	contest
G125	to assemble together
G126	to be discouraged
G127	innocent
G128	of a goat
G129	shore
G130	Egyptian
G131	Egypt
G132	eternal (referring to God's power
G133	decency
G134	Ethiopian
G135	blood
G136	shedding
G137	to be subject to bleeding
G138	Aeneas
G139	praise
G140	to praise
G141	poor reflection
G142	praise
G143	Aenon
G144	goat
G145	to choose
G146	sect (religious party)
G147	to choose (for the purpose of showing special favor)
G148	divisive
G149	to take up
G150	to grasp
G151	insight
G152	sense
G153	pursuing dishonest gain
G154	in greediness for money
G155	filthy language
G156	disgraceful
G157	obscenity
G158	shamefulness
G159	to be ashamed
G160	to ask
G161	request
G162	(legal) charge
G163	charge
G164	to charge
G165	basis
G166	(legal) charge
G167	sudden
G168	captivity
G169	to take captive
G170	to take captive
G171	prisoner
G172	eternity
G173	eternal
G174	impurity
G175	uncleanness
G176	unclean
G177	to have no opportunity
G178	out of season
G179	blameless
G180	thorn
G181	of thorns
G182	unfruitful
G183	not condemned
G184	uncovered
G185	uncondemned
G186	indestructible
G187	unceasing
G188	never stopping
G189	disorder
G190	unstable
G191	uncontrollable
G192	Akeldama (traditionally located south of the valley of Hinnom)
G193	innocent
G194	be in distress
G195	unswerving
G196	to be or become ripe
G197	still
G198	(act of) hearing
G199	to follow
G200	audible
G201	to hear
G202	lack of self-control
G203	without self-control
G204	undiluted (of wine not watered down)
G205	thoroughness
G206	strictest
G207	strict
G208	to find out exactly
G209	accurately
G210	locust (in some cultures distinguished from a grasshopper and used as a food source)
G211	audience room (of the procurator)
G212	hearer
G213	uncircumcision
G214	cornerstone
G215	plunder
G216	end
G217	Aquila
G218	to nullify
G219	without hinderance
G220	not voluntary
G221	salt
G222	alabaster jar
G223	alabaster jar
G224	boasting
G225	boaster
G226	to clang
G227	inexpressible
G228	mute
G229	salt
G230	to pour on
G231	crowing of a rooster
G232	rooster
G233	Alexandrian
G234	Alexandrian
G235	Alexander
G236	flour
G237	truth
G238	to be truthful
G239	true
G240	true
G241	to grind grain (with a handmill operated by two women)
G242	truly
G243	fisherman (by occupation)
G244	to catch fish
G245	to salt
G246	pollution
G247	but
G248	to change
G249	from another way
G250	elsewhere
G251	to take figuratively
G252	hallelujah
G253	one another
G254	foreign
G255	to change
G256	to jump up
G257	another
G258	meddler
G259	belonging to another
G260	Gentile
G262	to tread
G263	unreasonable
G264	aloes
G265	salt
G266	salt spring
G267	free from anxiety
G268	chain (the state of imprisonment)
G269	unadvantageous
G270	Alpha
G271	Alphaeus
G272	threshing floor
G273	fox
G274	capture
G275	together
G276	ignorant
G277	unfading
G278	never fading
G279	to sin
G280	sin
G281	sin
G282	without testimony
G283	(a.) sinful
G284	Amaziah
G285	peaceable
G286	to mow
G287	amethyst
G288	to neglect
G289	blameless
