G1	阿拉法
G2	亞倫
G3	亞巴頓
G4	無重量
G5	阿爸
G6	亞伯
G7	亞比雅
G8	亞比亞他
G9	亞比利尼
G10	亞比玉
G11	亞伯拉罕
G12	無底的
G13	亞迦布
G14	廣去行善
G15	作行好者
G16	好⋯行為
G17	好⋯行者
G18	善的
G19	良善
G20	狂歡
G21	歡騰
G22	未婚的
G23	大大痛苦
G24	憤怒
G25	愛
G26	愛
G27	蒙愛的
G28	夏甲
G29	服勞役
G30	容器
G31	通告
G310001	帶來消息
G32	使者
G33	帶領
G34	一群
G35	無記載的
G36	無家族的
G37	使成聖
G38	潔淨
G39	神聖事物
G40	神聖的
G41	神聖
G42	神聖
G43	手臂
G44	細鉤
G45	錨
G46	未漂洗過的
G47	潔淨
G48	清潔
G49	洗淨
G50	不知道
G51	被忽視的事
G52	無知
G53	潔淨的
G54	清潔
G55	純粹地
G56	無知
G57	未知的
G58	市區廣場
G59	到市場去
G60	與市場有關的
G61	捕捉
G62	未受教育的
G63	露營
G64	狩獵
G65	野橄欖樹
G66	野的
G67	亞基帕
G68	田野
G69	不眠的
G70	不眠
G71	帶領
G72	養育好性格
G73	聚集
G74	競爭
G75	努力
G76	亞當
G77	不花錢的
G78	亞底
G79	姐妹
G80	弟兄
G81	弟兄關係
G82	隱藏的
G83	不確定
G84	不確定地
G85	悲痛
G86	未看見過的
G87	不偏倚的
G88	不間斷的
G89	不住地
G90	不腐朽
G91	行不義
G92	惡行
G93	不公義
G94	不義的
G95	不義地
G96	未被認可的
G97	無欺詐的
G98	亞大米田
G99	亞底亞海
G100	豐富
G101	不能夠
G102	不能的
G103	唱
G104	經常
G105	鷹
G106	無酵的
G107	亞所
G108	亞鎖都
G109	空氣
G110	不死
G111	不合法的
G112	無神的
G113	違法的
G114	廢棄
G115	除掉
G116	雅典
G117	雅典人
G118	比賽
G119	努力
G1190001	聚集
G120	無精神的
G121	無罪的
G122	山羊的
G123	海濱
G124	埃及人
G125	埃及
G126	永恒
G127	害羞
G128	埃提阿伯
G129	血
G130	流血
G131	流血
G132	以尼雅
G133	讚美
