G1	第一個字母
G2	亞倫
G3	亞巴頓
G4	無重擔
G5	阿爸
G6	亞伯
G7	亞比雅
G8	亞比亞他
G9	亞比利尼
G10	亞比玉
G11	亞伯拉罕
G12	深淵
G13	亞迦布
G14	做善工
G15	行善
G16	為善
G17	有益處的
G18	優質的
G19	良善
G20	大喜樂
G21	興高采烈
G22	未結婚的
G23	被激怒
G24	忿恨
G25	珍愛
G26	重視
G27	親愛的
G28	夏甲
G29	徵用
G30	器皿
G31	信息
G32	天使
G33	來吧
G34	畜群
G35	無族譜的
G36	身世平凡
G37	歸為聖
G38	聖潔
G39	形容詞
G40	聖徒
G41	聖潔
G42	聖潔
G43	手臂
G44	魚鉤
G45	錨
G46	未縮水的
G47	純潔
G48	使潔淨
G49	潔淨
G50	不知
G51	無知所犯的罪
G52	無知
G53	純淨
G54	純潔
G55	純淨
G56	無知
G57	未知的
G58	市集
G59	購買
G60	市集
G61	捕捉
G62	目不識丁的
G63	在戶外生活
G64	出其不意捕捉到
G65	野生橄欖的
G66	野生的
G67	亞基帕
G68	鄉間
G69	儆醒
G70	不眠
G71	引導
G72	生活方式
G73	競賽
G74	痛苦
G75	參加比賽
G76	亞當
G77	免費的
G78	亞底
G79	親生姐妹
G80	兄弟
G81	信徒團契
G82	不清楚的
G83	不確定性
G84	沒把握地
G85	焦慮
G86	陰間
G87	不分歧
G88	未間斷的
G89	不中斷地
G90	正直
G91	做錯
G92	罪行
G93	罪行
G94	不公
G95	不公正地
G96	不夠格的
G97	純粹無雜質的
G98	亞大米田
G99	亞底亞
G100	豐厚
G101	不可能
G102	無能
G103	歌唱
G104	總是
G105	老鷹
G106	實名詞
G107	亞所
G108	亞鎖都
G109	空氣
G110	不死
G111	不法
G112	無神的
G113	不合宜的
G114	視為無用
G115	廢止
G116	雅典娜的複數
G117	雅典人
G118	比賽
G119	競賽
G120	使氣餒
G121	無罪的
G122	山羊的
G123	海濱
G124	埃及人
G125	埃及
G126	永恆的
G127	樸實
G128	埃提阿伯
G129	血
G130	流血
G131	流血
G132	以尼雅
G133	頌讚
G134	讚美
G135	謎
