G1	Alpha
G2	Aaron
G3	Abaddon
G4	Not burdensome
G5	Abba
G6	Abel
G7	Abijah
G8	Abiathar
G9	The Abilenian territory
G10	Abiud
G11	Abraham
G12	The abyss
G13	Agabus
G14	To work that which is good
G15	To do that which is good
G16	The doing of that which is good
G17	A doer of that which is good
G18	Intrinsically good
G19	Intrinsic goodness
G20	Wild joy
G21	To exult
G22	Unmarried
G23	To be angry
G24	Feeling of anger
G25	To love
G26	Love
G27	Loved
G28	Hagar
G29	To impress
G30	A vessel
G31	A message
G32	A messenger
G34	A flock
G35	Of unrecorded genealogy
G36	without family
G37	To make holy
G38	The process of making or becoming holy
G40	Set apart by  God
G41	Holiness
G42	A holy or sanctified state
G43	An arm
G44	A fish-hook
G45	An anchor
G46	Unshrunk
G47	Purity
G48	To cleanse
G49	purification
G50	To not know
G51	An offence committed through ignorance
G52	Ignorance
G53	pure
G54	Purity
G55	Purely
G56	Ignorance
G57	Unknown
G58	Market-place
G59	To buy
G60	A lounger in the market-place
G61	Catching
G62	Unlettered
G63	To spend the night in the open
G64	To catch
G65	A wild olive tree
G66	Wild
G67	Agrippa
G68	A field
G69	To be not asleep
G70	The state of being awake
G71	To lead
G72	A leading
G73	An  contest
G74	great fear
G75	To be struggling
G76	Adam
G77	Without expense
G78	Addi
G79	A sister
G80	A brother
G81	Brotherhood
G82	Unseen
G83	The quality of being unseen
G84	Out of sight
G85	To feel fear
G86	Hades
G87	Without uncertainty
G88	Unceasing
G89	Unceasingly
G91	To act unjustly towards
G92	A legal wrong
G93	Injustice
G94	Unjust
G95	Unjustly
G96	Failing to pass the test
G97	Unadulterated
G98	Belonging to Adramyttium
G99	The Hadria
G100	Lavishness
G101	To be impossible
G102	incapable
G103	To sing
G104	Always
G105	An eagle
G106	Unleavened
G107	Azor
G108	Azotus
G109	Air
G110	Immortality
G111	Illegal
G112	Without god
G113	Lawless
G114	To annul
G115	Annulment
G116	Athens
G117	Athenian
G118	To engage
G119	A struggling
G120	To lose heart
G121	guiltless
G122	Of a goat
G123	Sea-coast
G124	Egyptian
G125	Egypt
G126	Eternal
G127	Shame
G128	An Ethiopian
G129	Blood
G130	A shedding or pouring forth of blood
G131	To suffer from a continual flow  of blood
G132	Aeneas
G133	Praise
G134	To praise
G135	A riddle
G136	Praise
G137	Aenon
G138	To choose
G139	A self-chosen opinion
G140	To choose
G141	Disposed to form sects
G142	To raise
G143	To perceive
G144	Perception
G145	Perceptive faculty
G146	Greedy
G147	Greedily
G148	Filthy speech
G150	Base
G151	Obscenity
G152	Shame
G153	To be ashamed
G154	To ask
G155	A petition
G156	A cause
G157	A charge
G159	The cause
G160	Unexpected
G161	Captivity
G162	To take captive
G163	To take captive
G164	A captive
G165	An age
G166	Age-long
G167	Uncleanness
G169	Unclean
G170	To be without a suitable opportunity
G171	Unseasonably
G172	Innocent
G173	A thorn-bush
G174	Made of thorns
G175	Unfruitful
G176	Not open to just rebuke
G177	Unveiled
G178	Uncondemned
G179	Indissoluble
G180	Not ceasing from
G181	Disturbance
G182	Unsettled
G184	Akeldama
G185	simple
G186	Unbent
G187	To reach maturity
G188	Even now
G189	Hearing
G190	To accompany
G191	To hear
G192	Incontinence
G193	Lacking self-control
G194	Unmixed
G195	Strictness
G196	Most exact
G198	To learn carefully
G199	Carefully
G200	A locust
G201	Auditorium
G202	A hearer
G203	foreskin
G204	In the corner
G205	firstfruits
G206	The end
G207	The Greek way of writing the Latin Aquila
G208	To annul
G209	without hindrance
G210	Unwilling
G211	A phial or bottle of perfumed ointment
G212	Boasting
G213	A boaster
G214	To cry aloud
G215	Unutterable
G216	Unable to speak or articulate
G217	Salt
G218	To anoint
G219	The cockcrow
G220	A rooster
G221	An Alexandrian
G222	Alexandrian
G223	Alexander
G224	Meal
G225	Truth
G226	To say  truth
G227	Unconcealed
G228	True
G229	To grind
G230	Truly
G231	A fisherman
G232	To fish
G233	To salt
G234	Pollution
G235	But
G236	To change
G237	From another place
G238	To speak allegorically
G239	Hallelujah
G240	One another
G241	Of another nation
G242	To leap
G243	Other
G244	One who meddles in things alien to his calling or in matters belonging to others
G245	Belonging to another person
G246	Foreign
G247	Otherwise
G248	To thresh
G249	Without reason
G250	Aloes
G251	Salt
G252	Salty
G253	Free from pain
G254	A  chain
G255	Profitless
G256	Alphaeus
G257	A threshing-floor
G258	A fox
