G1	「A」 Alpha
G2	Aaron
G3	Abbadon
G4	not burdensome
G5	Abba
G6	Abel
G7	Abijah
G8	Abiathar
G9	Abilene
G10	Abiud
G11	Abraham
G12	abyss
G13	Agabus
G14	work good
G15	good
G16	good-doing
G17	doers of good
G18	good
G19	goodness
G20	gladness
G21	glad
G22	unmarried
G23	indignant
G24	indignation
G25	love, beloved
G26	「A」 love, loves, loved, loving, 「B」 love-feasts
G27	beloved
G28	Hagar
G29	compel, compels, compelled
G30	containers~
G31	message
G32	messenger, messengers
G33	『G71』
G34	herd
G35	with no~ genealogy
G36	ignoble
G37	sanctify, sanctifies, sanctified, sanctifying
G38	sanctification
G39	『G40』
G40	「A」 holy, 「B」 holy-one, holy-ones, Holy-place, Holy-places, 「C」 Holy of Holies
G41	holiness
G42	holiness
G43	arms
G44	fishhook
G45	anchor, anchors
G46	unshrunk
G47	purity
G48	purify, purifies, purified
G49	purification
G50	「A」 ignorant, 「B」 unrecognized, 「C」 not~ considering
G51	sins of ignorance
G52	ignorance
G53	pure
G54	purity
G55	purely
G56	ignorance
G57	unknown
G58	marketplace, marketplaces
G59	buy, buys, bought, buying
G60	「A」 market-loafers, 「B」 lower-courts
G61	catch
G62	illiterate
G63	camping out~
G64	catch
G65	wild olive, wild olive tree~, olive trees~
G66	wild
G67	Agrippa
G68	「A」 rural-area , 「B」 field, fields
G69	watch, watching
G70	sleeplessness
G71	「A」 lead, leads, led, leading, 「B」 bring, brought, bringing, 「C」 come~ coming~, going~
G72	lead
G73	「A」 contest, 「B」 struggle, fight
G74	agony
G75	struggle, struggles, struggling, fight, fought, fighting
G76	Adam
G77	without~ cost
G78	Addi
G79	sister, sisters
G80	brother, brothers, brethren
G81	brotherhood
G82	indistinct
G83	uncertainty
G84	with uncertainty
G85	disheartened
G86	Hades
G87	impartial
G88	constant
G89	constantly
G90	integrity
G91	「A」 wrong, wronged, wronging, 「B」 hurt
G92	wrongdoing
G93	unrighteousness
G94	unrighteous
G95	wrongfully
G96	unapproved
G97	no~ treachery
G98	Adramyttium
G99	Adriatic
G100	lavish donation
G101	「A」 powerless, 「B」 impossible
G102	「A」 powerless, 「B」 impossible
G103	sing, singing
G104	habitually
G105	eagle, vultures
G106	unleavened
G107	Azor
G108	Azotus
G109	air
G110	immortality
G111	illegal
G112	godless
G113	immoral
G114	「A」 reject, rejects, rejected, rejecting, 「B」 nullifies
G115	nullifying
G116	Athens
G117	from Athens
G118	contends, contended
G119	conflict
G120	discouraged
G121	innocent
G122	goat~
G123	beach
G124	Egyptian, Egyptians
G125	Egypt
G126	eternal
G127	modesty, reverence
G128	Ethiopia
G129	blood, bloods
G130	shedding of blood
G131	flow of blood
G132	Aeneas
G133	praising
G134	praise, praising
G135	dimly
G136	praise
G137	Aenon
G138	select, selected | +for -self
G139	sect, sects
G140	selected
G141	sectarian
G142	lift, lifts, lifted, lifting | +/-up; take | +/-up, +/-away~
G143	comprehend
G144	comprehension
G145	senses
G146	covetous
G147	covetously
G148	obscene speech
G149	『BASE WORD』
G150	shameful
G151	obscenity
G152	shame
G153	ashamed, shamed
G154	ask for, asks for, asking for
G155	request, requests
G156	「A」 accusation, 「B」 case; cause, 「C」 crime
G157	accusations
G158	『G159』
G159	「A」 cause, 「B」 crime
G160	sudden, suddenly
G161	captivity
G162	captured
G163	captured, capturing
G164	captives
G165	「A」 age, ages 「B」 world, 「C」 forever +/- and ever~
G166	everlasting
G167	uncleanness
G168	『MINORITY TEXT』
G169	unclean
G170	no~ opportunity
G171	inopportunely
G172	guiltless
G173	thorns
G174	thorny
G175	unfruitful
G176	not condemnable
G177	unveiled
G178	uncondemned
G179	indestructible
G180	unceasing
G181	unrest, unrests
G182	restless
G183	uncontrollable
G184	Akeldama
G185	harmless
G186	unwavering
G187	prime
G188	at this point
G189	「A」 hearing, 「B」 report, reports , 「C」 ears
G190	follow, followed, following
G191	「A」 hear, hears, heard, hearing, listen, listening, +
G192	shortage of self-control
G193	with no~ self-control
G194	undiluted
G195	exactness
G196	strictest
G197	『G199』
G198	ascertained accurately
G199	more~ accurately, accurately
G200	locusts
G201	auditorium
G202	hearer, hearers
G203	uncircumcision, uncircumcised~
G204	cornerstone
G205	spoils
G206	tip
G207	Aquila
G208	invalidated, invalidating
G209	unforbidden
G210	involuntarily
G211	alabaster flask
G212	egotism
G213	boasters
G214	「A」 wailing, 「B」 clanging
G215	unspeakable
G216	mute~
G217	salt
G218	anoint, anointed
G219	rooster crowing
G220	rooster
G221	Alexandria
G222	Alexandria
G223	Alexander
G224	flour
G225	truth
G226	telling~ the truth
G227	true
G228	true, truly
G229	grinding
G230	truly
G231	fishermen
G232	fish~
G233	salted
G234	pollutions
G235	but~
G236	changed
G237	elsewhere
G238	allegorized
G239	Hallelujah
G240	one~ another
G241	immigrant
G242	leaping up, leaped
G243	another, other, others
G244	meddler in the affairs of others
G245	「A」 another, other, others, 「B」 alien, aliens
G246	heathen
G247	contrariwise
G248	threshing
G249	unreasoning, unreasonable
G250	aloes
G251	salt
G252	salty
G253	sorrow-free
G254	chain, chains
G255	detrimental
G256	Alphaeus
G257	threshing floor
G258	fox, foxes
G259	apprehension
G260	at the same~ time~
G261	unlearned
G262	unfading
G263	unfading
G264	sin, sins, sinned, sinning
G265	sin, sins
G266	「A」 sin, sins, 「B」 sinful
G267	unwitnessed
G268	sinner, sinners
G269	not~ quarrelsome
G270	mowed
G271	amethyst
G272	neglect, neglected, neglecting
G273	blameless
G274	blameless
G275	carefree
G276	unchangeable
G277	unmovable
G278	unregrettable
G279	unrepentant
G280	immeasurable
G281	「A」 amen, 「B」 assuredly
G282	no~ mother
G283	undefiled
G284	Amminadab
G285	sand
G286	lamb
G287	reimbursement
G288	vine
G289	vine-dresser
G290	vineyard
G291	Amplias
G292	retaliated
G293	net
G294	dressed-up, dresses-up
G295	Amphipolis
G296	road
G297	both~
G298	flawless, unblemished
G299	unblemished
G300	Amon
G301	Amos
G302	「A」 if~, would, should, may, might, 「B」 whoever~, whomever~, whatever~
G303	「A」 up, 「B」 apiece, 「C」 respectively
G304	steps
G305	「A」 go~ up, come~ up, ascend, ascends, ascended, ascending, 「B」 shoots up, shot up, shooting up
G306	postponed
G307	hauled it up
G308	「A」 recover, recovered | + sight; 「B」 see, saw, seen, look up
G309	recovery of sight
G310	cried
G311	postpone
G312	proclaim, proclaimed, proclaiming, report, reported
G313	born~ again
G314	read, reads, reading
G315	urge, urged, urging
G316	「A」 necessary, 「B」 intimate
G317	by compulsion
G318	「A」 necessity, 「B」 calamity, calamities
G319	recognized
G320	public-reading
G321	「A」 bring up, brought up, 「B」 set-sail, setting-sail
G322	「A」 show, 「B」 delegated
G323	showing
G324	accept
G325	given over~
G326	lived again; alive again
G327	seek, sought
G328	girding up
G329	rekindle
G330	bloomed again
G331	accursed
G332	「A」 curse, 「B」 vowed
G333	review, reviewing
G334	votive-offerings
G335	irreverence
G336	assassination
G337	「A」 assassinate, assassinated, assassinating, 「B」 abolishes, 「C」 taken away~, took~ for herself~
G338	crimeless
G339	sat up
G340	renew
G341	renewed
G342	renewal
G343	unveiled
G344	revisit
G345	recline~ , reclines~ , reclined~ , reclining~
G346	sum up, summed up
G347	recline~, reclined~
G348	『NOT IN BYZ MAJ』
G349	cried out~
G350	「A」 examined, examining, 「B」 judge, judged, judging
G351	examination
G352	stand-erect, stood-erect
G353	「A」 received up, 「B」 take, took, take | +/-up, +/-in
G354	taking up
G355	consume
G356	analogy
G357	study
G358	non-salty
G359	departure
G360	vacates
G361	sinless
G362	await
G363	remembered, remembering, remind, reminded
G364	remembrance
G365	young again
G366	sober up
G367	Ananias
G368	undeniable
G369	undeniably
G370	unworthy
G371	unworthily
G372	rest
G373	give-rest, gave-rest, given-rest; rest, rests; rest, resting | +oneself
G374	persuading
G375	sent back~
G376	disabled
G377	lean-back, leaned-back
G378	fulfill, fulfilled; fill~, fills, | +/-with
G379	without~ defense
G380	unrolled
G381	lit
G382	innumerable
G383	shook up
G384	upsetting
G385	pull, pulled, | +up
G386	resurrection
G387	unsettled, unsettling
G388	crucifying again
G389	groaned deeply
G390	「A」 turn, turned, | +/-back~, +/-over~, 「B」 conduct, conducted, conducting, | +
G391	conduct
G392	compile
G393	rise, rises, rose, risen, rising
G394	submitted
G395	「A」 rising, 「B」 east
G396	perverting
G397	「A」 reared, 「B」 nourished
G398	appear
G399	「A」 brings, brought, 「B」 carry, carried, 「C」 offer, offered
G400	shouted out~
G401	outpouring
G402	depart, departed
G403	relaxation
G404	refreshed
G405	kidnappers
G406	Andrew
G407	manly
G408	Andronicus
G409	murderers
G410	irreproachable
G411	indescribable
G412	unspeakable
G413	unfailing
G414	more~ tolerable
G415	unmerciful
G416	blown by the wind
G417	wind, winds
G418	inevitable
G419	unsearchable
G420	tolerating mistreated
G421	untraceable
G422	unashamed
G423	unimpeachable
G424	go~ up
G425	relief; rest
G426	interrogate, interrogated
G427	without~
G428	unfit
G429	found
G430	tolerate, tolerating
G431	cousin
G432	dill
G433	proper
G434	untamed
G435	「A」 man, men, 「B」 husband
G436	stand, stood, standing, | +against~
G437	fully-professing
G438	flower
G439	coal-fire
G440	hot-coals
G441	men-pleasers
G442	human
G443	murderer
G444	「A」 human, man, men, 「B」 mankind
G445	proconsul
G446	proconsul, proconsuls
G447	lax, laxing
G448	merciless
G449	unwashed
G450	「A」 stand stands, stood, standing, | +/- up; 「B」 rise, rises, raise, raised, rose, risen, rising, | +/- up
G451	Anna
G452	Annas
G453	foolish
G454	「A」 madness, 「B」 mindlessness
G455	open, opens, opened, opening
G456	build again
G457	opening
G458	lawlessness, lawlessnesses
G459	lawless
G460	without~ the law
G461	straighten, straightened
G462	unholy
G463	forbearance
G464	struggle against~
G465	in exchange
G466	filling~ up
G467	「A」 repay; repaid
G468	repayment
G469	payment
G470	answer back~ +/- against~
G471	『G483』
G472	hold, hold, holding | +/- to, +/- up
G473	「A」 instead of, in exchange-for, 「B」 because~, | +/-of
G474	exchanging
G475	place themselves~ in opposition
G476	opponent
G477	oppositions
G478	standing against~
G479	invite too
