G33	go to
G39	holiest
G90	uncorruptness
G149	shame
G158	cause
G168	filthiness
G183	unruly
G197	more perfect
G300	Amon
G348	hinder
G445	be the deputy
G471	gainsay
G534	from henceforth
G542	see
G566	it is enough
G567	abstain
G637	wash
G821	handle shamefully
G925	overcharge
G933	king's court
G962	Bethabara
G1002	dart
G1083	birth
G1177	twelve
G1196	bind
G1207	second-first
G1222	verily
G1232	make known
G1275	alway
G1302	wherefore
G1307	transparent
G1400	servant
G1418	hard
G1488	art
G1489	if indeed
G1498	mean
G1499	if
G1507	roll together
G1508	but
G1509	except
G1511	am
G1513	if by any means
G1527	one by one
G1536	he that
G1547	give in marriage
G1548	give in marriage
G1691	I
G1698	I
G1700	me
G1749	lying in wait
G1827	convince
G1897	seeing
G1916	cry
G1970	choke
G2067	government
G2070	are
G2071	shall be
G2075	be
G2076	are
G2077	be
G2179	of Ephesus
G2208	Zelotes
G2229	surely
G2248	our
G2249	us
G2252	be
G2254	our
G2257	our
G2258	I was
G2277	let … be
G2355	lamentation
G2396	behold
G2404	Hierapolis
G2444	wherefore
G2467	know
G2468	be you
G2499	Jose
G2534	and
G2568	fair havens
G2601	bring down
G2640	remnant
G2651	alone
G2700	thrust through
G2735	very worthy deed
G2781	comb
G2858	Colossian
G3002	Lebbæus
G3165	I
G3176	exceeding great
G3181	border
G3185	the more
G3186	greater
G3187	elder
G3193	honeycomb
G3362	if not
G3363	albeit not
G3364	any more
G3378	neither
G3381	lest somehow
G3387	any
G3390	chiefest city
G3391	a
G3397	a
G3415	be mindful
G3427	I
G3450	I
G3459	mill
G3496	Neapolis
G3505	Nero
G3535	Nineve
G3569	now
G3603	called
G3620	edifying
G3658	company
G3698	when
G3721	early
G3746	whomsoever
G3801	the Eternal
G3818	Pacatiana
G3827	very great
G3836	from every quarter
G3872	that which is committed to
G4007	soever
G4054	more abundantly
G4055	more abundant
G4056	more abundant
G4191	more wicked
G4208	farther
G4235	meek
G4236	meekness
G4275	foresee
G4280	foretell
G4331	come nigh
G4384	before appoint
G4387	former
G4452	yet
G4458	haply
G4483	command
G4555	sardine
G4566	Satan
G4571	thee
G4668	in Smyrna
G4671	thee
G4675	of you
G4706	very diligently
G4707	more diligent
G4839	continue with
G4877	meet
G5024	even thus
G5025	hence
G5026	her
G5104	really
G5120	his
G5123	that is
G5124	here
G5125	such
G5126	him
G5127	here
G5128	such
G5129	this
G5130	such
G5175	Trogyllium
G5182	trouble
G5209	ye
G5210	ye
G5213	ye
G5216	ye
G5224	goods
G5332	sorcerer
G5391	courteous
G5414	lading
G5516	666
G5600	be
G5607	be
