G33	Go to
G39	Holiest
G90	Uncorruptness
G149	Shame
G158	Cause
G168	Filthiness
G183	Unruly
G197	More perfect
G300	Amon
G348	Hinder
G445	Be the deputy
G471	Gainsay
G534	From henceforth
G542	See
G566	It is enough
G567	Abstain
G637	Wash
G821	Handle shamefully
G925	Overcharge
G933	King's court
G962	Bethabara
G1002	Dart
G1083	Birth
G1177	Twelve
G1196	Bind
G1207	Second-first
G1222	Verily
G1232	Make known
G1275	Alway
G1302	Wherefore
G1307	Transparent
G1400	Servant
G1418	Hard
G1488	Art
G1489	If indeed
G1498	Mean
G1499	If
G1507	Roll together
G1508	But
G1509	Except
G1511	Am
G1513	If by any means
G1527	One by one
G1536	He that
G1547	Give in marriage
G1548	Give in marriage
G1691	I
G1698	I
G1700	Me
G1749	Lying in wait
G1827	Convince
G1897	Seeing
G1916	Cry
G1970	Choke
G2067	Government
G2070	Are
G2071	Shall be
G2075	Be
G2076	Are
G2077	Be
G2179	Of Ephesus
G2208	Zelotes
G2229	Surely
G2248	Our
G2249	Us
G2252	Be
G2254	Our
G2257	Our
G2258	I was
G2277	Let … be
G2355	Lamentation
G2396	Behold
G2404	Hierapolis
G2444	Wherefore
G2467	Know
G2468	Be you
G2499	Jose
G2534	And
G2568	Fair havens
G2601	Bring down
G2640	Remnant
G2651	Alone
G2700	Thrust through
G2735	Very worthy deed
G2781	Comb
G2858	Colossian
G3002	Lebbæus
G3165	I
G3176	Exceeding great
G3181	Border
G3185	The more
G3186	Greater
G3187	Elder
G3193	Honeycomb
G3362	If not
G3363	Albeit not
G3364	Any more
G3378	Neither
G3381	Lest somehow
G3387	Any
G3390	Chiefest city
G3391	A
G3397	A
G3415	Be mindful
G3427	I
G3450	I
G3459	Mill
G3496	Neapolis
G3505	Nero
G3535	Nineve
G3569	Now
G3603	Called
G3620	Edifying
G3658	Company
G3698	When
G3721	Early
G3746	Whomsoever
G3801	The Eternal
G3818	Pacatiana
G3827	Very great
G3836	From every quarter
G3872	That which is committed to
G4007	Soever
G4054	More abundantly
G4055	More abundant
G4056	More abundant
G4191	More wicked
G4208	Farther
G4235	Meek
G4236	Meekness
G4275	Foresee
G4280	Foretell
G4331	Come nigh
G4384	Before appoint
G4387	Former
G4452	Yet
G4458	Haply
G4483	Command
G4555	Sardine
G4566	Satan
G4571	Thee
G4668	In Smyrna
G4671	Thee
G4675	Of you
G4706	Very diligently
G4707	More diligent
G4839	Continue with
G4877	Meet
G5024	Even thus
G5025	Hence
G5026	Her
G5104	Really
G5120	His
G5123	That is
G5124	Here
G5125	Such
G5126	Him
G5127	Here
G5128	Such
G5129	This
G5130	Such
G5175	Trogyllium
G5182	Trouble
G5209	Ye
G5210	Ye
G5213	Ye
G5216	Ye
G5224	Goods
G5332	Sorcerer
G5391	Courteous
G5414	Lading
G5516	666
G5600	Be
G5607	Be
