G70001	Ἀαρών	aarōn	aaron	Aaron
G70002	Ἀβαδδών	abaddōn	avaððon	Abaddon
G70003	ἀβαρής	abarēs	avariys	not burdensome
G70004	αββα	abba	avva	father
G70005	Ἅβελ	habel	avel	Abel
G70006	Ἀβιά	abia	aviya	Abijah
G70007	Ἀβιαθάρ	abiathar	aviyaθar	Abiathar
G70008	Ἀβιληνή	abilēnē	aviyliyniy	Abilene
G70009	Ἀβιούδ	abioud	aviyuð	Abiud
G70010	Ἀβραάμ	abraam	avraam	Abraham
G70011	ἄβυσσος	abyssos	aviyssos	Abyss
G70012	Ἅγαβος	hagabos	agavos	Agabus
G70013	ἀγαθοεργέω	agathoergeō	agaθoeryeo	to do good
G70014	ἀγαθοποιέω	agathopoieō	agaθopiyeo	to do good
G70015	ἀγαθοποιΐα	agathopoiia	agaθopiyiya	doing good
G70016	ἀγαθοποιός	agathopoios	agaθopiyos	one who does good
G70017	ἀγαθός	agathos	agaθos	good
G70018	ἀγαθουργέω	agathourgeō	agaθuryeo	to do good
G70019	ἀγαθωσύνη	agathōsynē	agaθosiyniy	goodness
G70020	ἀγαλλίασις	agalliasis	agalliyasiys	delight
G70021	ἀγαλλιάω	agalliaō	agalliyao	to be filled with delight
G70022	ἄγαμος	agamos	agamos	unmarried
G70023	ἀγανακτέω	aganakteō	aganakteo	to be indignant
G70024	ἀγανάκτησις	aganaktēsis	aganaktiysiys	indignation
G70025	ἀγαπάω	agapaō	agapao	to love
G70026	ἀγάπη	agapē	agapiy	love
G70027	ἀγαπητός	agapētos	agapiytos	dearly loved one
G70028	Ἁγάρ	hagar	agar	Hagar
G70029	ἀγγαρεύω	angareuō	anggarevo	to force
G70030	ἀγγεῖον	angeion	anggiyon	jar
G70031	ἀγγελία	angelia	anggeliya	message
G70032	ἀγγέλλω	angellō	anggello	to bring news
G70033	ἄγγελος	angelos	anggelos	angel
G70034	ἄγγος	angos	anggos	basket
G70035	ἄγε	age	aye	basket
G70036	ἀγέλη	agelē	ayeliy	herd
G70037	ἀγενεαλόγητος	agenealogētos	ayenealoyiytos	without genealogy
G70038	ἀγενής	agenēs	ayeniys	lowly
G70039	ἁγιάζω	hagiazō	ayiyazo	to sanctify
G70040	ἁγιασμός	hagiasmos	ayiyazmos	holiness
G70041	ἅγιος	hagios	ayiyos	holy
G70042	ἁγιότης	hagiotēs	ayiyotiys	holiness
G70043	ἁγιωσύνη	hagiōsynē	ayiyosiyniy	holiness
G70044	ἀγκάλη	ankalē	anggaliy	arm
G70045	ἄγκιστρον	ankistron	anggiystron	fish-hook
G70046	ἄγκυρα	ankyra	anggiyra	anchor
G70047	ἄγναφος	agnaphos	agnafos	unshrunk
G70048	ἁγνεία	hagneia	agniya	purity
G70049	ἁγνίζω	hagnizō	agniyzo	to purify
G70050	ἁγνισμός	hagnismos	agniyzmos	purification
G70051	ἀγνοέω	agnoeō	agnoeo	to be ignorant
G70052	ἀγνόημα	agnoēma	agniyma	sin committed in ignorance
G70053	ἄγνοια	agnoia	agniya	ignorance
