G70001	<font color='3'>Ἀαρών</font>｜<i>noun, proper, dative, singular, masculine</i><br /><font color='3'>Ἀαρών</font>｜<i>noun, proper, genitive, singular, masculine</i><br /><font color='3'>Ἀαρὼν</font>｜<i>noun, proper, genitive, singular, masculine</i><br /><font color='3'>Ἀαρών</font>｜<i>noun, proper, nominative, singular, masculine</i>
G70002	<font color='3'>Ἀβαδδών</font>｜<i>noun, proper, nominative, singular, masculine</i>
G70003	<font color='3'>ἀβαρῆ</font>｜<i>adjective, accusative, singular, masculine</i>
G70004	<font color='3'>Αββα</font>｜<i>noun, common, vocative, singular, masculine</i>
G70005	<font color='3'>Ἅβελ</font>｜<i>noun, proper, accusative, singular, masculine</i><br /><font color='3'>Ἅβελ</font>｜<i>noun, proper, genitive, singular, masculine</i><br /><font color='3'>Ἅβελ</font>｜<i>noun, proper, nominative, singular, masculine</i>
G70006	<font color='3'>Ἀβιά</font>｜<i>noun, proper, accusative, singular, masculine</i><br /><font color='3'>Ἀβιά</font>｜<i>noun, proper, genitive, singular, masculine</i><br /><font color='3'>Ἀβιὰ</font>｜<i>noun, proper, nominative, singular, masculine</i>
G70007	<font color='3'>Ἀβιαθὰρ</font>｜<i>noun, proper, genitive, singular, masculine</i>
G70008	<font color='3'>Ἀβιληνῆς</font>｜<i>noun, proper, genitive, singular, feminine</i>
G70009	<font color='3'>Ἀβιούδ</font>｜<i>noun, proper, accusative, singular, masculine</i><br /><font color='3'>Ἀβιοὺδ</font>｜<i>noun, proper, nominative, singular, masculine</i>
G70010	<font color='3'>Ἀβραάμ</font>｜<i>noun, proper, accusative, singular, masculine</i><br /><font color='3'>Ἀβραὰμ</font>｜<i>noun, proper, accusative, singular, masculine</i><br /><font color='3'>Ἀβραάμ</font>｜<i>noun, proper, dative, singular, masculine</i><br /><font color='3'>Ἀβραὰμ</font>｜<i>noun, proper, dative, singular, masculine</i><br /><font color='3'>Ἀβραάμ</font>｜<i>noun, proper, genitive, singular, masculine</i><br /><font color='3'>Ἀβραὰμ</font>｜<i>noun, proper, genitive, singular, masculine</i><br /><font color='3'>Ἀβραάμ</font>｜<i>noun, proper, nominative, singular, masculine</i><br /><font color='3'>Ἀβραὰμ</font>｜<i>noun, proper, nominative, singular, masculine</i><br /><font color='3'>Ἀβραάμ</font>｜<i>noun, proper, vocative, singular, masculine</i>
G70011	<font color='3'>ἄβυσσον</font>｜<i>noun, common, accusative, singular, feminine</i><br /><font color='3'>ἀβύσσου</font>｜<i>noun, common, genitive, singular, feminine</i>
G70012	<font color='3'>Ἅγαβος</font>｜<i>noun, proper, nominative, singular, masculine</i>
G70013	<font color='3'>ἀγαθοεργεῖν</font>｜<i>verb, present, active, infinitive</i>
G70014	<font color='3'>ἀγαθοποιεῖτε</font>｜<i>verb, second, present, active, imperative, plural</i><br /><font color='3'>ἀγαθοποιῆσαι</font>｜<i>verb, aorist, active, infinitive</i><br /><font color='3'>ἀγαθοποιῆτε</font>｜<i>verb, second, present, active, subjunctive, plural</i><br /><font color='3'>ἀγαθοποιοῦντας</font>｜<i>verb, present, active, participle, accusative, plural, masculine</i><br /><font color='3'>ἀγαθοποιοῦντες</font>｜<i>verb, present, active, participle, nominative, plural, masculine</i><br /><font color='3'>ἀγαθοποιοῦσαι</font>｜<i>verb, present, active, participle, nominative, plural, feminine</i><br /><font color='3'>ἀγαθοποιῶν</font>｜<i>verb, present, active, participle, nominative, singular, masculine</i>
G70015	<font color='3'>ἀγαθοποιΐᾳ</font>｜<i>noun, common, dative, singular, feminine</i>
G70016	<font color='3'>ἀγαθοποιῶν</font>｜<i>noun, common, genitive, plural, masculine</i>
