A.APF	adjective, accusative, plural, feminine
A.APFC	adjective, accusative, plural, feminine, comparative
A.APM	adjective, accusative, plural, masculine
A.APMC	adjective, accusative, plural, masculine, comparative
A.APN	adjective, accusative, plural, neuter
A.APNC	adjective, accusative, plural, neuter, comparative
A.APNS	adjective, accusative, plural, neuter, superlative
A.ASF	adjective, accusative, singular, feminine
A.ASFC	adjective, accusative, singular, feminine, comparative
A.ASFS	adjective, accusative, singular, feminine, superlative
A.ASM	adjective, accusative, singular, masculine
A.ASMC	adjective, accusative, singular, masculine, comparative
A.ASN	adjective, accusative, singular, neuter
A.ASNC	adjective, accusative, singular, neuter, comparative
A.ASNS	adjective, accusative, singular, neuter, superlative
A.DPF	adjective, dative, plural, feminine
A.DPFC	adjective, dative, plural, feminine, comparative
A.DPM	adjective, dative, plural, masculine
A.DPMC	adjective, dative, plural, masculine, comparative
A.DPN	adjective, dative, plural, neuter
A.DPNS	adjective, dative, plural, neuter, superlative
A.DSF	adjective, dative, singular, feminine
A.DSFC	adjective, dative, singular, feminine, comparative
A.DSFS	adjective, dative, singular, feminine, superlative
A.DSM	adjective, dative, singular, masculine
A.DSMC	adjective, dative, singular, masculine, comparative
A.DSMS	adjective, dative, singular, masculine, superlative
A.DSN	adjective, dative, singular, neuter
A.DSNC	adjective, dative, singular, neuter, comparative
A.DSNS	adjective, dative, singular, neuter, superlative
A.GPF	adjective, genitive, plural, feminine
A.GPFS	adjective, genitive, plural, feminine, superlative
A.GPM	adjective, genitive, plural, masculine
A.GPMC	adjective, genitive, plural, masculine, comparative
A.GPMS	adjective, genitive, plural, masculine, superlative
A.GPN	adjective, genitive, plural, neuter
A.GPNC	adjective, genitive, plural, neuter, comparative
A.GPNS	adjective, genitive, plural, neuter, superlative
A.GSF	adjective, genitive, singular, feminine
A.GSFC	adjective, genitive, singular, feminine, comparative
A.GSM	adjective, genitive, singular, masculine
A.GSMC	adjective, genitive, singular, masculine, comparative
A.GSMS	adjective, genitive, singular, masculine, superlative
A.GSN	adjective, genitive, singular, neuter
A.GSNS	adjective, genitive, singular, neuter, superlative
A.NPF	adjective, nominative, plural, feminine
A.NPFC	adjective, nominative, plural, feminine, comparative
A.NPFS	adjective, nominative, plural, feminine, superlative
A.NPM	adjective, nominative, plural, masculine
A.NPMC	adjective, nominative, plural, masculine, comparative
A.NPN	adjective, nominative, plural, neuter
A.NPNC	adjective, nominative, plural, neuter, comparative
A.NSF	adjective, nominative, singular, feminine
A.NSFC	adjective, nominative, singular, feminine, comparative
A.NSFS	adjective, nominative, singular, feminine, superlative
A.NSM	adjective, nominative, singular, masculine
A.NSMC	adjective, nominative, singular, masculine, comparative
A.NSMS	adjective, nominative, singular, masculine, superlative
A.NSN	adjective, nominative, singular, neuter
A.NSNC	adjective, nominative, singular, neuter, comparative
A.VPF	adjective, vocative, plural, feminine
A.VPM	adjective, vocative, plural, masculine
A.VPMC	adjective, vocative, plural, masculine, comparative
A.VSF	adjective, vocative, singular, feminine
A.VSM	adjective, vocative, singular, masculine
A.VSMS	adjective, vocative, singular, masculine, superlative
C	conjunction
D	adverb
D.C	adverb, comparative
I	interjection
N.APF	noun, accusative, plural, feminine
N.APM	noun, accusative, plural, masculine
N.APN	noun, accusative, plural, neuter
N.ASF	noun, accusative, singular, feminine
N.ASM	noun, accusative, singular, masculine
N.ASN	noun, accusative, singular, neuter
N.DPF	noun, dative, plural, feminine
N.DPM	noun, dative, plural, masculine
N.DPN	noun, dative, plural, neuter
N.DSF	noun, dative, singular, feminine
N.DSM	noun, dative, singular, masculine
N.DSN	noun, dative, singular, neuter
N.GPF	noun, genitive, plural, feminine
N.GPM	noun, genitive, plural, masculine
N.GPN	noun, genitive, plural, neuter
N.GSF	noun, genitive, singular, feminine
N.GSM	noun, genitive, singular, masculine
N.GSN	noun, genitive, singular, neuter
N.NPF	noun, nominative, plural, feminine
N.NPM	noun, nominative, plural, masculine
N.NPN	noun, nominative, plural, neuter
N.NSF	noun, nominative, singular, feminine
N.NSM	noun, nominative, singular, masculine
N.NSN	noun, nominative, singular, neuter
N.VPF	noun, vocative, plural, feminine
N.VPM	noun, vocative, plural, masculine
N.VPN	noun, vocative, plural, neuter
N.VSF	noun, vocative, singular, feminine
N.VSM	noun, vocative, singular, masculine
N.VSN	noun, vocative, singular, neuter
P	preposition
RA.APF	definite article, accusative, plural, feminine
RA.APM	definite article, accusative, plural, masculine
RA.APN	definite article, accusative, plural, neuter
RA.ASF	definite article, accusative, singular, feminine
RA.ASM	definite article, accusative, singular, masculine
RA.ASN	definite article, accusative, singular, neuter
RA.DPF	definite article, dative, plural, feminine
RA.DPM	definite article, dative, plural, masculine
RA.DPN	definite article, dative, plural, neuter
RA.DSF	definite article, dative, singular, feminine
RA.DSM	definite article, dative, singular, masculine
RA.DSN	definite article, dative, singular, neuter
RA.GPF	definite article, genitive, plural, feminine
RA.GPM	definite article, genitive, plural, masculine
RA.GPN	definite article, genitive, plural, neuter
RA.GSF	definite article, genitive, singular, feminine
RA.GSM	definite article, genitive, singular, masculine
RA.GSN	definite article, genitive, singular, neuter
RA.NPF	definite article, nominative, plural, feminine
RA.NPM	definite article, nominative, plural, masculine
RA.NPN	definite article, nominative, plural, neuter
RA.NSF	definite article, nominative, singular, feminine
RA.NSM	definite article, nominative, singular, masculine
RA.NSN	definite article, nominative, singular, neuter
RD.APF	demonstrative pronoun, accusative, plural, feminine
RD.APM	demonstrative pronoun, accusative, plural, masculine
RD.APN	demonstrative pronoun, accusative, plural, neuter
RD.ASF	demonstrative pronoun, accusative, singular, feminine
RD.ASM	demonstrative pronoun, accusative, singular, masculine
RD.ASN	demonstrative pronoun, accusative, singular, neuter
RD.DPF	demonstrative pronoun, dative, plural, feminine
RD.DPM	demonstrative pronoun, dative, plural, masculine
RD.DPN	demonstrative pronoun, dative, plural, neuter
RD.DSF	demonstrative pronoun, dative, singular, feminine
RD.DSM	demonstrative pronoun, dative, singular, masculine
RD.DSN	demonstrative pronoun, dative, singular, neuter
RD.GPF	demonstrative pronoun, genitive, plural, feminine
RD.GPM	demonstrative pronoun, genitive, plural, masculine
RD.GPN	demonstrative pronoun, genitive, plural, neuter
RD.GSF	demonstrative pronoun, genitive, singular, feminine
RD.GSM	demonstrative pronoun, genitive, singular, masculine
RD.GSN	demonstrative pronoun, genitive, singular, neuter
RD.NPF	demonstrative pronoun, nominative, plural, feminine
RD.NPM	demonstrative pronoun, nominative, plural, masculine
RD.NPN	demonstrative pronoun, nominative, plural, neuter
RD.NSF	demonstrative pronoun, nominative, singular, feminine
RD.NSM	demonstrative pronoun, nominative, singular, masculine
RD.NSN	demonstrative pronoun, nominative, singular, neuter
RI.APF	interrogative/indefinite pronoun, accusative, plural, feminine
RI.APM	interrogative/indefinite pronoun, accusative, plural, masculine
RI.APN	interrogative/indefinite pronoun, accusative, plural, neuter
RI.ASF	interrogative/indefinite pronoun, accusative, singular, feminine
RI.ASM	interrogative/indefinite pronoun, accusative, singular, masculine
RI.ASN	interrogative/indefinite pronoun, accusative, singular, neuter
RI.DPM	interrogative/indefinite pronoun, dative, plural, masculine
RI.DPN	interrogative/indefinite pronoun, dative, plural, neuter
RI.DSF	interrogative/indefinite pronoun, dative, singular, feminine
RI.DSM	interrogative/indefinite pronoun, dative, singular, masculine
RI.DSN	interrogative/indefinite pronoun, dative, singular, neuter
RI.GPF	interrogative/indefinite pronoun, genitive, plural, feminine
RI.GPM	interrogative/indefinite pronoun, genitive, plural, masculine
RI.GPN	interrogative/indefinite pronoun, genitive, plural, neuter
RI.GSF	interrogative/indefinite pronoun, genitive, singular, feminine
RI.GSM	interrogative/indefinite pronoun, genitive, singular, masculine
RI.GSN	interrogative/indefinite pronoun, genitive, singular, neuter
RI.NPF	interrogative/indefinite pronoun, nominative, plural, feminine
RI.NPM	interrogative/indefinite pronoun, nominative, plural, masculine
RI.NPN	interrogative/indefinite pronoun, nominative, plural, neuter
RI.NSF	interrogative/indefinite pronoun, nominative, singular, feminine
RI.NSM	interrogative/indefinite pronoun, nominative, singular, masculine
RI.NSN	interrogative/indefinite pronoun, nominative, singular, neuter
RP.AP	personal pronoun, accusative, plural
RP.APF	personal pronoun, accusative, plural, feminine
RP.APM	personal pronoun, accusative, plural, masculine
RP.APN	personal pronoun, accusative, plural, neuter
RP.AS	personal pronoun, accusative, singular
RP.ASF	personal pronoun, accusative, singular, feminine
RP.ASM	personal pronoun, accusative, singular, masculine
RP.ASN	personal pronoun, accusative, singular, neuter
RP.DP	personal pronoun, dative, plural
RP.DPF	personal pronoun, dative, plural, feminine
RP.DPM	personal pronoun, dative, plural, masculine
RP.DPN	personal pronoun, dative, plural, neuter
RP.DS	personal pronoun, dative, singular
RP.DSF	personal pronoun, dative, singular, feminine
RP.DSM	personal pronoun, dative, singular, masculine
RP.DSN	personal pronoun, dative, singular, neuter
RP.GP	personal pronoun, genitive, plural
RP.GPF	personal pronoun, genitive, plural, feminine
RP.GPM	personal pronoun, genitive, plural, masculine
