Ἀαρών	<h2><grk>Ἀαρών</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀαρών, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἀαρών</grk></blu><br />danker-entry: <blu><grk>Ἀαρών, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἀαρών, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἀαρών</grk></blu><br />strongs: <num>G2</num><br />gk: [GKG2]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Aaron</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
Ἀβαδδών	<h2><grk>Ἀβαδδών</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀβαδδών, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἀβαδδών</grk></blu><br />danker-entry: <blu><grk>Ἀβαδδών, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἀβαδδών, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἀβαδδών</grk></blu><br />strongs: <num>G3</num><br />gk: [GKG3]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Abaddon</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
ἀβαρής	<h2><grk>ἀβαρής</grk></h2>pos: <font color='purple'>A</font><br />full-citation-form: <blu><grk>ἀβαρής, ές, gen. οῦς</grk></blu><br />bdag-headword: <blu><grk>ἀβαρής</grk></blu><br />danker-entry: <blu><grk>ἀβαρής, ές, gen. οῦς</grk></blu><br />dodson-entry: <blu><grk>ἀβαρής, ες</grk></blu><br />mounce-headword: <blu><grk>ἀβαρής</grk></blu><br />strongs: <num>G4</num><br />gk: [GKG4]<br />dodson-pos: <font color='purple'>A</font><br />gloss: <red><b>not burdensome</b></red><br />mounce-morphcat: <font color='purple'>a-4a</font>
αββα	<h2><grk>αββα</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>αββα</grk></blu><br />bdag-headword: <blu><grk>ἀββα</grk></blu><br />danker-entry: <blu><grk>ἀββά</grk></blu><br />dodson-entry: <blu><grk>Ἀββᾶ</grk></blu><br />mounce-headword: <blu><grk>ἀββά</grk></blu><br />strongs: <num>G5</num><br />gk: [GKG5]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Father</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
Ἅβελ	<h2><grk>Ἅβελ</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἅβελ, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἅβελ</grk></blu><br />danker-entry: <blu><grk>Ἅβελ, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἄβελ, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἇβελ</grk></blu><br />strongs: <num>G6</num><br />gk: [GKG6]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Abel</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
Ἀβιά	<h2><grk>Ἀβιά</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀβιά, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἀβιά</grk></blu><br />danker-entry: <blu><grk>Ἀβιά, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἀβιά, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἀβιά</grk></blu><br />strongs: <num>G7</num><br />gk: [GKG7]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Abijah</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
Ἀβιαθάρ	<h2><grk>Ἀβιαθάρ</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀβιαθάρ, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἀβιαθάρ</grk></blu><br />danker-entry: <blu><grk>Ἀβιαθάρ, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἀβιάθαρ, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἀβιαθάρ</grk></blu><br />strongs: <num>G8</num><br />gk: [GKG8]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Abiathar</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
Ἀβιληνή	<h2><grk>Ἀβιληνή</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀβιληνή, ῆς, ἡ</grk></blu><br />bdag-headword: <blu><grk>Ἀβιληνή</grk></blu><br />danker-entry: <blu><grk>Ἀβιληνή, ῆς, ἡ</grk></blu><br />dodson-entry: <blu><grk>Ἀβιληνή, ῆς, ἡ</grk></blu><br />mounce-headword: <blu><grk>Ἀβιληνή</grk></blu><br />strongs: <num>G9</num><br />gk: [GKG9]<br />dodson-pos: <font color='purple'>N:F</font><br />gloss: <red><b>Abilene</b></red><br />mounce-morphcat: <font color='purple'>n-1b</font>
Ἀβιούδ	<h2><grk>Ἀβιούδ</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀβιούδ, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἀβιούδ</grk></blu><br />danker-entry: <blu><grk>Ἀβιούδ, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἀβιούδ, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἀβιούδ</grk></blu><br />strongs: <num>G10</num><br />gk: [GKG10]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Abiud</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
Ἀβραάμ	<h2><grk>Ἀβραάμ</grk></h2>pos: <font color='purple'>N</font><br />full-citation-form: <blu><grk>Ἀβραάμ, ὁ</grk></blu><br />bdag-headword: <blu><grk>Ἀβραάμ</grk></blu><br />danker-entry: <blu><grk>Ἀβραάμ, ὁ</grk></blu><br />dodson-entry: <blu><grk>Ἀβραάμ, ὁ</grk></blu><br />mounce-headword: <blu><grk>Ἀβραάμ</grk></blu><br />strongs: <num>G11</num><br />gk: [GKG11]<br />dodson-pos: <font color='purple'>N-PRI</font><br />gloss: <red><b>Abraham</b></red><br />mounce-morphcat: <font color='purple'>n-3g(2)</font>
