αὐτοῦ	<p id="lx"><lx>αὐτοῦ</lx> </p><p id="mf"><mf></mf> <fr>4<small>x</small></fr> </p><br/><p id="gl"><gl></gl> </p><p id="df"><df>here, <a href="B:470 26:36">Mt. 26:36</a>; <a href="B:490 9:27">Lk. 9:27</a>; <br/>there, <a href="B:510 18:19">Acts 18:19</a>; <a href="B:510 21:4">21:4</a>*</df> </p><p id="st"><trl>autou</trl> | GK <gk>7000</gk> </p>	here		autou	
ζηλωτής	<p id="lx"><lx>ζηλωτής, οῦ, ὁ</lx> </p><p id="mf"><mf>n-1f</mf> <fr>8<small>x</small></fr> </p><br/><p id="gl"><gl>zealot, enthusiast, adherent, one who has the feelings or attitudes of deep commitment to a person or cause; in the NT this can technically refer to a person who belonged to a nationalist Jewish group that sought independence from Rome</gl> </p><p id="df"><df><ab>pr.</ab> a generous rival, an imitator; <ab>in NT</ab> an aspirant, <a href="B:530 14:12">1 Cor. 14:12</a>; <a href="B:630 2:14">Tit. 2:14</a>; <br/>a devoted adherent, a zealot, <a href="B:510 21:20">Acts 21:20</a>; <a href="B:510 22:3">22:3</a>; <a href="B:550 1:14">Gal. 1:14</a></df> </p><p id="st"><trl>zēlōtēs</trl> | S <a href="S:G2207"><st>2207</st></a> | GK <gk>2421</gk> </p>	zealot		zēlōtēs	
ζῆλος	<p id="lx"><lx>ζῆλος, -ου, ὁ</lx> </p><p id="mf"><mf>n-3d(2b)</mf> <fr>16<small>x</small></fr> </p><br/><p id="gl"><gl>zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concern; jealousy, envy, rage, morally corrupt zealous ill will</gl> </p><p id="df"><df>generous rivalry; noble aspiration; <ab>in NT</ab> zeal, ardor in behalf of, ardent affection, <a href="B:500 2:17">Jn. 2:17</a>; <a href="B:520 10:2">Rom. 10:2</a>; <br/>in a bad sense, jealousy, envy, malice, <a href="B:510 13:45">Acts 13:45</a>; <a href="B:520 13:13">Rom. 13:13</a>; <br/>indignation, wrath, <a href="B:510 5:17">Acts 5:17</a></df> </p><p id="st"><trl>zēlos</trl> | S <a href="S:G2205"><st>2205</st></a> | GK <gk>2419</gk> </p>	zeal		zēlos	
νεότης	<p id="lx"><lx>νεότης, ητος, ἡ</lx> </p><p id="mf"><mf>n-3c(1)</mf> <fr>4<small>x</small></fr> </p><br/><p id="gl"><gl>youth, childhood</gl> </p><p id="df"><df>youth, <a href="B:470 19:20">Mt. 19:20</a></df> </p><p id="st"><trl>neotēs</trl> | S <a href="S:G3503"><st>3503</st></a> | GK <gk>3744</gk> </p>	youth		neotēs	
σεαυτοῦ	<p id="lx"><lx>σεαυτοῦ, -ῆς</lx> </p><p id="mf"><mf>a-1a(2b)</mf> <fr>43<small>x</small></fr> </p><br/><p id="gl"><gl>yourself</gl> </p><p id="df"><df>of yourself, to yourself, <ab>etc.</ab> <a href="B:470 4:6">Mt. 4:6</a>; <a href="B:470 8:4">8:4</a>; <a href="B:470 19:19">19:19</a></df> </p><p id="st"><trl>seautou</trl> | S <a href="S:G4572"><st>4572</st></a> | GK <gk>4932</gk> </p>	yourself		seautou	
νεανίας	<p id="lx"><lx>νεανίας, ου, ὁ</lx> </p><p id="mf"><mf>n-1d</mf> <fr>3<small>x</small></fr> </p><br/><p id="gl"><gl>young man</gl> </p><p id="df"><df>a young man, youth, <a href="B:510 20:9">Acts 20:9</a>; <a href="B:510 23:17">23:17</a>; <br/>used of one who is in the prime of life, <a href="B:510 7:58">Acts 7:58</a>*</df> </p><p id="st"><trl>neanias</trl> | S <a href="S:G3494"><st>3494</st></a> | GK <gk>3733</gk> </p>	young man		neanias	
νεανίσκος	<p id="lx"><lx>νεανίσκος, -ου, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>11<small>x</small></fr> </p><br/><p id="gl"><gl>young man</gl> </p><p id="df"><df>a young man, youth, <a href="B:480 14:51">Mk. 14:51</a>; <a href="B:480 16:5">16:5</a>; <br/>used of one in the prime of life, <a href="B:470 19:20">Mt. 19:20</a>, <a href="B:470 19:22">22</a>; <br/><el>νεανισκοι</el>, soldiers, <a href="B:480 14:51">Mk. 14:51</a></df> </p><p id="st"><trl>neaniskos</trl> | S <a href="S:G3495"><st>3495</st></a> | GK <gk>3734</gk> </p>	young man		neaniskos	
ὀνάριον	<p id="lx"><lx>ὀνάριον, ου, τό</lx> </p><p id="mf"><mf>n-2c</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>young donkey</gl> </p><p id="df"><df>a young donkey, a donkeys colt, <a href="B:500 12:14">Jn. 12:14</a>*</df> </p><p id="st"><trl>onarion</trl> | S <a href="S:G3678"><st>3678</st></a> | GK <gk>3942</gk> </p>	young donkey		onarion	
νοσσίον	<p id="lx"><lx>νοσσίον, ου, τό</lx> </p><p id="mf"><mf>n-2c</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>young <pr>(of a bird)</pr></gl> </p><p id="df"><df>the young of birds, a chick; <ab>pl.</ab> a brood of young birds, <a href="B:470 23:37">Mt. 23:37</a>*</df> </p><p id="st"><trl>nossion</trl> | S <a href="S:G3556"><st>3556</st></a> | GK <gk>3800</gk> </p>	young (of a bird)		nossion	
νοσσός	<p id="lx"><lx>νοσσός, οῦ, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>young <pr>(of a bird)</pr></gl> </p><p id="df"><df><ab>also spelled</ab> <el>νεοσσός</el>, the young of birds, a young bird, chick, <a href="B:490 2:24">Lk. 2:24</a>*</df> </p><p id="st"><trl>nossos</trl> | S <a href="S:G3502"><st>3502</st></a> | GK <gk>3801</gk> </p>	young (of a bird)		nossos	
σύ	<p id="lx"><lx>σύ</lx> </p><p id="mf"><mf>a-5</mf> <fr>2906<small>x</small></fr> </p><br/><p id="gl"><gl>you, your</gl> </p><p id="df"><df>you, <ab>gen.</ab>, <el>σοῦ</el>, <ab>dat.</ab>, <el>σοί</el>, <ab>acc.</ab>, <el>σε</el>, <a href="B:470 1:20">Mt. 1:20</a>; <a href="B:470 2:6">2:6</a></df> </p><p id="st"><trl>sy</trl> | S <a href="S:G4571"><st>4571</st></a> | GK <gk>5148</gk> </p>	you		sy	
σύζυγος	<p id="lx"><lx>σύζυγος, ου, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>yokefellow, comrade</gl> </p><p id="df"><df>an associate, comrade, fellow laborer, or it could be the person's name, <a href="B:570 4:3">Phil. 4:3</a>*</df> </p><p id="st"><trl>syzygos</trl> | S <a href="S:G4805"><st>4805</st></a> | GK <gk>5187</gk> </p>	yokefellow		syzygos	
ζεῦγος	<p id="lx"><lx>ζεῦγος, ους, τό</lx> </p><p id="mf"><mf>n-3d(2b)</mf> <fr>2<small>x</small></fr> </p><br/><p id="gl"><gl>yoke; by extension: a pair</gl> </p><p id="df"><df>a yoke, of animals; a pair, couple, <a href="B:490 2:24">Lk. 2:24</a>; <a href="B:490 14:19">14:19</a>*</df> </p><p id="st"><trl>zeugos</trl> | S <a href="S:G2201"><st>2201</st></a> | GK <gk>2414</gk> </p>	yoke		zeugos	
ζυγός	<p id="lx"><lx>ζυγός, οῦ, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>6<small>x</small></fr> </p><br/><p id="gl"><gl>yoke, a frame and cross bar placed on draft animals to pull various objects; pair of scales, ancient balance-pan scales. <i>To be under a yoke</i> means to be in an oppressed condition such as slavery</gl> </p><p id="df"><df><ab>also spelled</ab> zugovn, ou, tov (n-2c), <ab>pr.</ab> a cross bar or band; a yoke; <ab>met.</ab> a yoke of servile condition, <a href="B:610 6:1">1 Tim. 6:1</a>; <br/>a yoke of service or obligation, <a href="B:470 11:29">Mt. 11:29</a>, <a href="B:470 11:30">30</a>; <a href="B:510 15:10">Acts 15:10</a>; <a href="B:550 5:1">Gal. 5:1</a>; <br/>the beam of a balance; a balance, <a href="B:730 6:5">Rev. 6:5</a>*</df> </p><p id="st"><trl>zygos</trl> | S <a href="S:G2218"><st>2218</st></a> | GK <gk>2433</gk> </p>	yoke		zygos	
ἐχθές	<p id="lx"><lx>ἐχθές</lx> </p><p id="mf"><mf>adverb</mf> <fr>3<small>x</small></fr> </p><br/><p id="gl"><gl>yesterday</gl> </p><p id="df"><df>yesterday, <a href="B:500 4:52">Jn. 4:52</a>; <a href="B:510 7:28">Acts 7:28</a>; <a href="B:650 13:8">Heb. 13:8</a>*</df> </p><p id="st"><trl>echthes</trl> | S <a href="S:G5504"><st>5504</st></a> | GK <gk>2396</gk> </p>	yesterday		echthes	
χθές	<p id="lx"><lx>χθές</lx> </p><p id="mf"><mf>adverb</mf> <fr>0<small>x</small></fr> </p><br/><p id="gl"><gl>yesterday</gl> </p><p id="df"><df></df> </p><p id="st"><trl>chthes</trl> | S <a href="S:G5504"><st>5504</st></a> | GK <gk>5940</gk> </p>	yesterday		chthes	
ναί	<p id="lx"><lx>ναί</lx> </p><p id="mf"><mf>particle</mf> <fr>33<small>x</small></fr> </p><br/><p id="gl"><gl>yes, indeed, a marker of strong agreement, affirmation, or emphasis</gl> </p><p id="df"><df>a particle, used to strengthen an affirmation, certainly, <a href="B:730 22:20">Rev. 22:20</a>; <br/>to make an affirmation, or express an assent, yea, yes, <a href="B:470 5:37">Mt. 5:37</a>; <a href="B:510 5:8">Acts 5:8</a></df> </p><p id="st"><trl>nai</trl> | S <a href="S:G3483"><st>3483</st></a> | GK <gk>3721</gk> </p>	yes		nai	
ζύμη	<p id="lx"><lx>ζύμη, -ης, ἡ</lx> </p><p id="mf"><mf>n-1b</mf> <fr>13<small>x</small></fr> </p><br/><p id="gl"><gl>yeast, leaven</gl> </p><p id="df"><df>leaven, yeast, <a href="B:470 16:12">Mt. 16:12</a>; <a href="B:470 13:33">13:33</a>; <br/><ab>met.</ab> leaven of the mind and conduct, by a system of doctrine or morals, used in a bad sense, <a href="B:470 16:6">Mt. 16:6</a>, <a href="B:470 16:11">11</a>; <a href="B:530 5:6">1 Cor. 5:6</a></df> </p><p id="st"><trl>zymē</trl> | S <a href="S:G2219"><st>2219</st></a> | GK <gk>2434</gk> </p>	yeast		zymē	
ἐνιαυτός	<p id="lx"><lx>ἐνιαυτός, -οῦ, ὁ</lx> </p><p id="mf"><mf>n-2a</mf> <fr>14<small>x</small></fr> </p><br/><p id="gl"><gl>year</gl> </p><p id="df"><df>a year, more particularly as being a cycle of seasons, and in respect of its revolution, <a href="B:500 11:49">Jn. 11:49</a>, <a href="B:500 11:51">51</a>; <a href="B:500 18:13">18:13</a>; <br/><ab>in NT</ab> an era, <a href="B:490 4:19">Lk. 4:19</a></df> </p><p id="st"><trl>eniautos</trl> | S <a href="S:G1763"><st>1763</st></a> | GK <gk>1929</gk> </p>	year		eniautos	
ἔτος	<p id="lx"><lx>ἔτος, -ους, τό</lx> </p><p id="mf"><mf>n-3d(2b)</mf> <fr>49<small>x</small></fr> </p><br/><p id="gl"><gl>year</gl> </p><p id="df"><df>a year, <a href="B:490 2:41">Lk. 2:41</a>; <a href="B:490 3:23">3:23</a></df> </p><p id="st"><trl>etos</trl> | S <a href="S:G2094"><st>2094</st></a> | GK <gk>2291</gk> </p>	year		etos	
παρανομία	<p id="lx"><lx>παρανομία, ας, ἡ</lx> </p><p id="mf"><mf>n-1a</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>wrongdoing, lawlessness</gl> </p><p id="df"><df>violation of the law, transgression, <a href="B:680 2:16">2 Pet. 2:16</a>*</df> </p><p id="st"><trl>paranomia</trl> | S <a href="S:G3892"><st>3892</st></a> | GK <gk>4175</gk> </p>	wrongdoing		paranomia	
κακοποιός	<p id="lx"><lx>κακοποιός, όν</lx> </p><p id="mf"><mf>a-3a</mf> <fr>3<small>x</small></fr> </p><br/><p id="gl"><gl>wrongdoing</gl> </p><p id="df"><df>an evil-doer, <a href="B:670 2:12">1 Pet. 2:12</a>, <a href="B:670 2:14">14</a>; <a href="B:670 4:15">4:15</a>*</df> </p><p id="st"><trl>kakopoios</trl> | S <a href="S:G2555"><st>2555</st></a> | GK <gk>2804</gk> </p>	wrongdoing		kakopoios	
ἄτοπος	<p id="lx"><lx>ἄτοπος, ον</lx> </p><p id="mf"><mf>a-3a</mf> <fr>4<small>x</small></fr> </p><br/><p id="gl"><gl>wrong, wicked; unusual, surprising</gl> </p><p id="df"><df><ab>pr.</ab> out of place; inopportune, unsuitable, absurd; new, unusual, strange; <ab>in NT</ab> improper, amiss, wicked, <a href="B:490 23:41">Lk. 23:41</a>; <a href="B:510 25:5">Acts 25:5</a>; <a href="B:600 3:2">2 Thess. 3:2</a>; <br/>noxious, harmful, <a href="B:510 28:6">Acts 28:6</a>*</df> </p><p id="st"><trl>atopos</trl> | S <a href="S:G824"><st>824</st></a> | GK <gk>876</gk> </p>	wrong		atopos	
χειρόγραφον	<p id="lx"><lx>χειρόγραφον, ου, τό</lx> </p><p id="mf"><mf>n-2c</mf> <fr>1<small>x</small></fr> </p><br/><p id="gl"><gl>written code, record of debt</gl> </p><p id="df"><df>handwriting; a written form, literal instrument, as distinguished from a spiritual dispensation, <a href="B:580 2:14">Col. 2:14</a>*</df> </p><p id="st"><trl>cheirographon</trl> | S <a href="S:G5498"><st>5498</st></a> | GK <gk>5934</gk> </p>	written code		cheirographon	
