adj.APF	adjective, accusative, plural, feminine
adj.APFC	adjective, accusative, plural, feminine, comparative
adj.APM	adjective, accusative, plural, masculine
adj.APMC	adjective, accusative, plural, masculine, comparative
adj.APN	adjective, accusative, plural, neuter
adj.APNC	adjective, accusative, plural, neuter, comparative
adj.APNS	adjective, accusative, plural, neuter, superlative
adj.ASF	adjective, accusative, singular, feminine
adj.ASFC	adjective, accusative, singular, feminine, comparative
adj.ASFS	adjective, accusative, singular, feminine, superlative
adj.ASM	adjective, accusative, singular, masculine
adj.ASMC	adjective, accusative, singular, masculine, comparative
adj.ASN	adjective, accusative, singular, neuter
adj.ASNC	adjective, accusative, singular, neuter, comparative
adj.ASNS	adjective, accusative, singular, neuter, superlative
adj.DPF	adjective, dative, plural, feminine
adj.DPFC	adjective, dative, plural, feminine, comparative
adj.DPM	adjective, dative, plural, masculine
adj.DPMC	adjective, dative, plural, masculine, comparative
adj.DPN	adjective, dative, plural, neuter
adj.DPNS	adjective, dative, plural, neuter, superlative
adj.DSF	adjective, dative, singular, feminine
adj.DSFC	adjective, dative, singular, feminine, comparative
adj.DSFS	adjective, dative, singular, feminine, superlative
adj.DSM	adjective, dative, singular, masculine
adj.DSMC	adjective, dative, singular, masculine, comparative
adj.DSMS	adjective, dative, singular, masculine, superlative
adj.DSN	adjective, dative, singular, neuter
adj.DSNC	adjective, dative, singular, neuter, comparative
adj.DSNS	adjective, dative, singular, neuter, superlative
adj.GPF	adjective, genitive, plural, feminine
adj.GPFS	adjective, genitive, plural, feminine, superlative
adj.GPM	adjective, genitive, plural, masculine
adj.GPMC	adjective, genitive, plural, masculine, comparative
adj.GPMS	adjective, genitive, plural, masculine, superlative
adj.GPN	adjective, genitive, plural, neuter
adj.GPNC	adjective, genitive, plural, neuter, comparative
adj.GPNS	adjective, genitive, plural, neuter, superlative
adj.GSF	adjective, genitive, singular, feminine
adj.GSFC	adjective, genitive, singular, feminine, comparative
adj.GSM	adjective, genitive, singular, masculine
adj.GSMC	adjective, genitive, singular, masculine, comparative
adj.GSMS	adjective, genitive, singular, masculine, superlative
adj.GSN	adjective, genitive, singular, neuter
adj.GSNS	adjective, genitive, singular, neuter, superlative
adj.NPF	adjective, nominative, plural, feminine
adj.NPFC	adjective, nominative, plural, feminine, comparative
adj.NPFS	adjective, nominative, plural, feminine, superlative
adj.NPM	adjective, nominative, plural, masculine
adj.NPMC	adjective, nominative, plural, masculine, comparative
adj.NPN	adjective, nominative, plural, neuter
adj.NPNC	adjective, nominative, plural, neuter, comparative
adj.NSF	adjective, nominative, singular, feminine
adj.NSFC	adjective, nominative, singular, feminine, comparative
adj.NSFS	adjective, nominative, singular, feminine, superlative
